time,z,y,x
1694682675994721000,-34.01250076293945,-35.36250305175781,13.631250381469728
1694682676014726100,-32.47500228881836,-35.38125228881836,13.031250953674316
1694682676034735900,-33.09375,-36.1875,13.106250762939451
1694682676054760000,-32.60625076293945,-36.65625,11.58750057220459
1694682676074792000,-32.10000228881836,-37.03125,10.875
1694682676094831000,-31.387500762939453,-37.462501525878906,10.6875
1694682676114860800,-31.725000381469727,-38.32500076293945,8.737500190734863
1694682676134877400,-31.218751907348636,-39.056251525878906,8.006250381469727
1694682676154887200,-31.125001907348636,-38.962501525878906,7.706250190734863
1694682676174897200,-30.712501525878903,-39.337501525878906,7.293750286102295
1694682676194895400,-31.012500762939453,-39.431251525878906,6.993750095367432
1694682676214898700,-31.350000381469727,-39.09375,5.793750286102295
1694682676234887700,-31.462501525878903,-38.681251525878906,5.081250190734863
1694682676254884600,-31.05000114440918,-38.51250076293945,4.800000190734863
1694682676274867000,-32.71875,-38.51250076293945,4.78125
1694682676294873900,-32.60625076293945,-38.60625076293945,4.668750286102295
1694682676314874000,-32.60625076293945,-38.32500076293945,5.193750381469727
1694682676334864000,-32.71875,-37.70625305175781,5.006250381469727
1694682676354874400,-32.60625076293945,-37.61250305175781,5.118750095367432
1694682676374878500,-32.28750228881836,-37.875,5.418750286102295
1694682676394877400,-32.0625,-37.95000076293945,5.90625
1694682676414883600,-32.587501525878906,-38.04375076293945,6.093750476837158
1694682676434876700,-31.98750114440918,-38.23125076293945,4.78125
1694682676454874400,-32.00625228881836,-37.91250228881836,3.787500143051148
1694682676474868700,-32.118751525878906,-38.28750228881836,3.4875001907348637
1694682676494863600,-31.70625114440918,-38.212501525878906,2.3812501430511475
1694682676514870800,-32.55000305175781,-38.15625,1.7625000476837158
1694682676534865700,-32.868751525878906,-37.89375305175781,1.5562500953674316
1694682676554869000,-33.39375305175781,-37.81875228881836,0.65625
1694682676574860000,-33.618751525878906,-37.6875,-0.5437500476837158
1694682676594860500,-34.25625228881836,-37.16250228881836,-0.956250011920929
1694682676614862800,-33.84375,-36.91875076293945,-2.15625
1694682676634855400,-33.95625305175781,-37.01250076293945,-2.5687501430511475
1694682676654859300,-34.59375,-36.50625228881836,-3.356250047683716
1694682676674851600,-34.70625305175781,-36.26250076293945,-4.068750381469727
1694682676694864600,-34.181251525878906,-35.90625,-3.937500238418579
1694682676714870800,-35.23125076293945,-35.75625228881836,-4.856250286102295
1694682676734871300,-34.72500228881836,-35.587501525878906,-5.25
1694682676754878700,-34.42500305175781,-35.70000076293945,-6.468750476837158
1694682676774868700,-34.743751525878906,-35.60625076293945,-6.262500286102295
1694682676794879200,-34.03125,-35.98125076293945,-7.462500095367432
1694682676814883300,-34.125,-36.07500076293945,-7.687500476837158
1694682676834875400,-34.66875076293945,-35.83125305175781,-8.287500381469727
1694682676854871800,-33.63750076293945,-35.75625228881836,-8.568750381469727
1694682676874865000,-33.84375,-35.75625228881836,-8.662500381469727
1694682676894867000,-34.368751525878906,-35.32500076293945,-9.168750762939451
1694682676914857000,-33.31875228881836,-35.75625228881836,-8.86875057220459
1694682676934845200,-34.06875228881836,-35.17500305175781,-10.162500381469728
1694682676954843600,-34.48125076293945,-35.51250076293945,-10.08750057220459
1694682676974843100,-33.03750228881836,-36.22500228881836,-10.387500762939451
1694682676994854100,-32.92500305175781,-35.962501525878906,-10.27500057220459
1694682677014870300,-33.337501525878906,-35.51250076293945,-10.387500762939451
1694682677034871300,-33.243751525878906,-35.71875,-10.575000762939451
1694682677054875000,-32.19375228881836,-36.150001525878906,-10.575000762939451
1694682677074873000,-31.781251907348636,-36.150001525878906,-10.668750762939451
1694682677094878500,-32.625,-36.243751525878906,-11.193750381469728
1694682677114878500,-32.32500076293945,-36.16875076293945,-11.287500381469728
1694682677134873900,-31.593751907348636,-36.243751525878906,-10.987500190734863
1694682677154869800,-32.212501525878906,-36.07500076293945,-11.58750057220459
1694682677174865700,-31.593751907348636,-36.16875076293945,-11.081250190734863
1694682677194863000,-32.53125,-35.90625,-11.887500762939451
1694682677214868700,-31.51875114440918,-36.01875305175781,-12.675000190734863
1694682677234865700,-30.993751525878903,-36.48750305175781,-13.406250953674316
1694682677254866000,-30.281251907348636,-36.50625228881836,-14.793750762939451
1694682677274859000,-30.093751907348636,-35.90625,-15.881250381469728
1694682677294864100,-29.381250381469727,-36.11250305175781,-17.306251525878906
1694682677314865400,-28.087501525878903,-35.47500228881836,-20.08125114440918
1694682677334857500,-28.106250762939453,-34.38750076293945,-22.481250762939453
1694682677354870300,-27.637500762939453,-32.36250305175781,-26.55000114440918
1694682677374876000,-26.73750114440918,-30.468751907348636,-29.118751525878903
1694682677394876200,-24.693750381469727,-28.068750381469727,-33.056251525878906
1694682677414883000,-23.17500114440918,-25.650001525878903,-35.681251525878906
1694682677434876700,-21.11250114440918,-21.712501525878903,-38.868751525878906
1694682677454875000,-18.84375,-19.012500762939453,-41.08125305175781
1694682677474880500,-18.337501525878903,-16.03125,-42.50625228881836
1694682677494873000,-16.6875,-11.381250381469728,-44.962501525878906
1694682677514871000,-15.018750190734863,-8.21250057220459,-46.16250228881836
1694682677534877000,-13.031250953674316,-3.525000095367432,-46.91250228881836
1694682677554877400,-11.887500762939451,-0.4312500059604645,-47.32500076293945
1694682677574867000,-9.46875,3.2250001430511475,-47.08125305175781
1694682677594865200,-7.481250286102295,4.837500095367432,-46.89375305175781
1694682677614871300,-5.8125,5.643750190734863,-46.05000305175781
1694682677634860500,-4.875,7.593750476837158,-46.38750076293945
1694682677654867000,-4.537500381469727,9.225000381469728,-45.525001525878906
1694682677674857000,-2.137500047683716,11.02500057220459,-44.92500305175781
1694682677694867700,0.2625000178813934,11.137500762939451,-44.587501525878906
1694682677714872600,2.4562501907348637,11.137500762939451,-44.26875305175781
1694682677734871800,3.4875001907348637,11.850000381469728,-44.53125
1694682677754878500,5.0625,11.34375,-43.61250305175781
1694682677774868200,5.793750286102295,12.33750057220459,-43.368751525878906
1694682677794878500,5.681250095367432,13.575000762939451,-43.63125228881836
1694682677814883000,7.575000286102295,13.237500190734863,-42.712501525878906
1694682677834875000,9.65625,12.99375057220459,-42.28125
1694682677854871300,11.418750762939451,12.393750190734863,-42.1875
1694682677874864400,11.53125,11.86875057220459,-41.98125076293945
1694682677894866200,11.512500762939451,11.68125057220459,-42.20625305175781
1694682677914856200,11.512500762939451,11.850000381469728,-42.28125
1694682677934844400,12.562500953674316,11.77500057220459,-42.1875
1694682677954843100,13.08750057220459,11.606250762939451,-41.868751525878906
1694682677974838800,13.08750057220459,11.15625,-41.98125076293945
1694682677994850800,14.737500190734863,9.731250762939451,-42.20625305175781
1694682678014867500,15.881250381469728,8.86875057220459,-42.20625305175781
1694682678034876700,17.64375114440918,7.368750095367432,-41.92500305175781
1694682678054879200,19.200000762939453,5.962500095367432,-41.23125076293945
1694682678074876400,20.662500381469727,5.362500190734863,-40.837501525878906
1694682678094881000,22.856250762939453,5.043750286102295,-39.60000228881836
1694682678114880000,24.412500381469727,5.15625,-39.375
1694682678134875000,25.031251907348636,4.893750190734863,-39.375
1694682678154870300,25.368751525878903,5.0625,-39.056251525878906
1694682678174877400,25.368751525878903,4.631250381469727,-39.07500076293945
1694682678194872000,25.05000114440918,4.275000095367432,-39.09375
1694682678214875100,24.731250762939453,4.181250095367432,-38.88750076293945
1694682678234866700,25.575000762939453,3.843750238418579,-38.681251525878906
1694682678254859500,25.575000762939453,4.368750095367432,-38.66250228881836
1694682678274858200,24.11250114440918,4.537500381469727,-39.39375305175781
1694682678294864000,23.681251525878903,4.706250190734863,-39.60000228881836
1694682678314864400,23.381250381469727,5.212500095367432,-39.78750228881836
1694682678334856700,23.700000762939453,5.231250286102295,-39.28125
1694682678354869200,22.96875,6.018750190734863,-39.76875305175781
1694682678374875400,23.793750762939453,5.231250286102295,-39.58125305175781
1694682678394875600,23.493751525878903,5.231250286102295,-39.1875
1694682678414882800,24.01875114440918,5.325000286102295,-39.07500076293945
1694682678434884000,23.26875114440918,5.662500381469727,-39.88125228881836
1694682678454880500,22.762500762939453,5.587500095367432,-39.78750228881836
1694682678474884600,23.381250381469727,4.96875,-39.69375228881836
1694682678494876400,23.587501525878903,4.518750190734863,-40.01250076293945
1694682678514873300,22.950000762939453,3.693750143051148,-40.23750305175781
1694682678534870800,21.993751525878903,3.6000001430511475,-40.76250076293945
1694682678554872300,20.73750114440918,1.2750000953674316,-41.15625
