time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694682728315000000,179.89999389648438,2.0999999046325684,141.39999389648438,6.800000190734863,0,0,68.2,3.0954183333333334,50.68827
1694682729315000000,179.89999389648438,2.0,138.89999389648438,6.800000190734863,0,0,67.0,3.0953916666666665,50.688268333333326
1694682730315000000,179.89999389648438,2.0,137.0,6.800000190734863,0,0,67.0,3.095371666666667,50.68826166666666
1694682731315000000,179.0,1.899999976158142,134.89999389648438,6.699999809265137,0,0,67.0,3.095358333333333,50.68826000000001
1694682732315000000,165.60000610351562,1.899999976158142,133.5,6.699999809265137,0,0,67.0,3.0953466666666665,50.68825666666667
1694682733315000000,131.6999969482422,1.7999999523162842,131.3000030517578,6.599999904632568,0,0,65.5,3.0953316666666666,50.68825166666667
1694682734315000000,104.1999969482422,1.7999999523162842,129.3000030517578,6.599999904632568,0,0,65.5,3.09532,50.68824166666666
1694682735315000000,105.8000030517578,1.7999999523162842,126.5999984741211,6.5,0,0,65.5,3.0953150000000003,50.68824166666666
1694682736315000000,86.9000015258789,1.7000000476837158,123.5999984741211,6.400000095367432,0,0,65.5,3.095298333333333,50.68824166666666
1694682737315000000,89.5999984741211,1.7000000476837158,121.0,6.300000190734863,0,0,65.5,3.095296666666667,50.68823999999999
1694682738315000000,98.5999984741211,1.7000000476837158,119.0,6.199999809265137,0,0,65.5,3.09515,50.68828
1694682739315000000,84.9000015258789,1.600000023841858,117.5,6.199999809265137,0,0,65.5,3.09515,50.68828
1694682740315000000,70.69999694824219,2.5999999046325684,116.3000030517578,6.099999904632568,0,0,65.5,3.09515,50.68828
1694682741315000000,87.5999984741211,3.200000047683716,115.0999984741211,6.099999904632568,0,0,65.5,3.09515,50.68828
1694682742315000000,96.6999969482422,3.299999952316284,114.6999969482422,6.0,0,0,65.5,3.09515,50.68828
1694682743315000000,112.0999984741211,3.400000095367432,114.4000015258789,6.0,0,0,65.5,3.09515,50.68828
1694682744315000000,155.1999969482422,3.5,114.0,6.0,0,0,65.5,3.09515,50.68828
1694682745315000000,179.89999389648438,3.5,113.8000030517578,5.900000095367432,0,0,65.5,3.09515,50.68828
1694682746315000000,179.89999389648438,3.5,113.5,5.900000095367432,0,0,65.5,3.09515,50.68828
1694682747315000000,179.89999389648438,3.5999999046325684,113.3000030517578,5.900000095367432,0,0,65.5,3.09515,50.68828
1694682748315000000,126.5,3.5999999046325684,113.0999984741211,5.900000095367432,0,0,65.5,3.09515,50.68828
1694682749315000000,179.89999389648438,3.799999952316284,112.9000015258789,6.0,0,0,65.5,3.09515,50.68828
1694682750315000000,179.89999389648438,3.700000047683716,112.5999984741211,6.0,0,0,65.5,3.09515,50.68828
1694682751315000000,166.3000030517578,3.700000047683716,112.3000030517578,6.0,0,0,65.5,3.09515,50.68828
1694682752315000000,179.89999389648438,3.5999999046325684,112.0,6.0,0,0,65.5,3.09515,50.68828
1694682753314000000,179.89999389648438,3.5999999046325684,111.6999969482422,6.0,0,0,65.5,3.09515,50.68828
1694682754314000000,179.89999389648438,3.900000095367432,111.5999984741211,6.0,0,0,65.5,3.09515,50.68828
1694682755314000000,179.89999389648438,3.799999952316284,111.4000015258789,6.0,0,0,65.5,3.09515,50.68828
1694682756314000000,179.89999389648438,3.700000047683716,111.4000015258789,6.099999904632568,0,0,65.5,3.09515,50.68828
1694682757314000000,179.89999389648438,3.5999999046325684,111.0,6.099999904632568,0,0,65.5,3.09515,50.68828
1694682758314000000,179.89999389648438,3.5999999046325684,111.0999984741211,6.199999809265137,0,0,65.5,3.09515,50.68828
