time,seconds_elapsed,steps
1694728318601471500,-1.397528564453125,0
1694728320479666000,0.480666015625,1
1694728322444546300,2.44554638671875,4
1694728324408841000,4.409841064453125,9
1694728326374267100,6.37526708984375,12
1694728328287980500,8.28898046875,16
1694728330252966400,10.25396630859375,19
1694728332217439700,12.218439697265625,22
1694728334181939700,14.182939697265626,26
1694728336096514300,16.097514404296874,29
1694728338061143300,18.062143310546876,33
1694728340029827600,20.03082763671875,36
1694728341991918800,21.9929189453125,40
1694728343955694600,23.956694580078125,43
1694728345869846000,25.870845947265625,47
1694728347836682800,27.837682861328126,51
1694728349799134000,29.800134033203125,54
1694728351764289800,31.765289794921873,57
1694728353728811800,33.72981176757813,61
1694728355642872800,35.64387280273438,65
1694728357607778600,37.608778564453125,68
1694728359572242200,39.5732421875,72
1694728361537000200,41.538000244140626,75
1694728363451176000,43.45217602539063,79
1694728365415993300,45.416993408203126,82
1694728367380728600,47.381728515625,86
1694728369345183700,49.34618383789063,90
1694728371259688400,51.2606884765625,93
1694728373226525700,53.22752563476563,97
1694728375189959700,55.190959716796876,100
1694728377154244600,57.15524462890625,103
1694728379067868000,59.06886791992188,107
1694728381036749300,61.03774926757813,110
1694728382997443300,62.998443359375,114
1694728384962082000,64.96308203125,118
1694728386876440600,66.87744067382812,121
1694728388840820700,68.84182080078125,125
1694728390805734400,70.806734375,128
1694728392770339800,72.77133984375,132
1694728394684415000,74.6854150390625,136
1694728396649298400,76.65029833984374,139
1694728398614252000,78.615251953125,143
1694728400528268300,80.52926831054687,147
1694728402492972800,82.49397290039063,150
1694728404457615400,84.45861547851563,154
1694728406422353700,86.42335375976562,157
1694728408336555800,88.3375556640625,161
1694728410301206500,90.30220654296875,165
1694728412266009900,92.267009765625,168
1694728414234604500,94.2356044921875,172
1694728416195305700,96.1963056640625,175
1694728418109698000,98.11069799804687,179
1694728420074788400,100.07578833007813,183
1694728422038800000,102.0397998046875,187
1694728423953691100,103.95469116210937,190
1694728425918026800,105.91902685546874,194
1694728427882726400,107.88372631835938,198
1694728429847618600,109.84861865234375,201
1694728431761464800,111.76246484375,205
1694728433726421500,113.72742138671875,208
1694728435692146000,115.69314599609375,212
1694728437655956500,117.65695654296874,215
1694728439569827800,119.57082788085937,219
1694728441534805000,121.53580493164063,222
1694728443499342600,123.50034252929687,226
1694728445464098300,125.46509838867188,230
1694728447431497500,127.43249755859375,233
1694728449343037700,129.34403759765624,236
1694728451314795800,131.31579565429686,239
1694728453272382000,133.2733818359375,243
1694728455237976600,135.2389765625,246
1694728457201638700,137.202638671875,249
1694728459116176000,139.11717578125,252
1694728461080728800,141.08172875976564,256
1694728463045716200,143.04671630859374,259
1694728464959838000,144.960837890625,263
1694728466924377900,146.9253779296875,266
1694728468890195000,148.89119482421876,269
1694728470854459000,150.855458984375,272
1694728472768123400,152.76912329101563,276
1694728474733417000,154.7344169921875,279
1694728476697587200,156.6985871582031,283
1694728478662290700,158.66329077148438,287
1694728480629408300,160.630408203125,290
1694728482541237200,162.5422373046875,293
1694728484506222000,164.50722216796876,296
1694728486470815000,166.47181494140625,300
1694728488437944800,168.43894482421874,304
1694728490349731000,170.35073095703126,308
1694728492317788200,172.3187880859375,311
1694728494279246300,174.28024633789062,315
1694728496244145400,176.2451455078125,319
1694728498158134300,178.15913427734375,323
1694728500122961200,180.12396118164062,326
1694728502087824600,182.08882470703125,330
1694728504052286000,184.05328588867187,334
1694728506017074700,186.01807470703125,337
1694728507931255800,187.932255859375,341
1694728509896321300,189.8973212890625,344
1694728511860667000,191.8616669921875,348
1694728513775031600,193.77603149414062,351
1694728515739740400,195.74074047851562,354
1694728517704303600,197.7053037109375,358
1694728519669177300,199.67017724609374,361
1694728521635358500,201.6363583984375,365
1694728523548328700,203.54932861328126,368
1694728525513252400,205.51425244140626,372
1694728527477695200,207.4786953125,375
1694728529442323200,209.4433232421875,379
1694728531407165000,211.4081650390625,382
1694728533321547800,213.3225478515625,385
1694728535286094000,215.28709399414063,389
1694728537250657300,217.2516572265625,392
1694728539215668200,219.21666821289062,395
1694728541129916200,221.13091625976563,399
1694728543095300600,223.09630053710939,402
1694728545059333000,225.0603330078125,406
1694728547028482600,227.02948266601564,409
1694728548938349300,228.93934936523436,412
1694728550903192000,230.90419213867187,415
1694728552867631600,232.86863159179688,419
1694728554834331000,234.83533081054688,422
1694728556797202200,236.7982021484375,425
1694728558711440600,238.71244067382813,428
1694728560676086500,240.67708642578125,431
1694728562640976000,242.64197583007814,434
1694728564605787600,244.60678759765625,437
1694728566520016000,246.52101586914063,441
1694728568484728300,248.48572827148436,444
1694728570449482800,250.45048266601563,447
1694728572414106400,252.4151064453125,450
1694728574379026400,254.3800263671875,453
1694728576293613600,256.2946135253906,457
1694728578258056000,258.25905590820315,460
1694728580223828200,260.224828125,464
1694728582187318500,262.1883186035156,467
1694728584101647000,264.10264721679687,470
1694728586066553000,266.0675529785156,473
1694728588036357600,268.0373576660156,477
1694728589995971600,269.9969716796875,480
1694728591910401000,271.91140112304686,483
1694728593875083500,273.87608349609377,487
1694728595839715800,275.8407158203125,490
1694728597804296400,277.80529638671874,493
1694728599769099800,279.7700998535156,496
1694728601683509200,281.68450927734375,499
1694728603648267300,283.64926733398437,503
1694728605613064000,285.61406396484375,506
1694728607577697500,287.5786975097656,510
1694728609492159200,289.4931591796875,513
