time,steps
1694850179816965000,0
1694850195072971500,9
1694850197038538500,13
1694850198952111400,18
1694850200917204200,21
1694850202882030300,25
1694850204846814700,29
1694850206818626800,33
1694850208776985300,37
1694850210741639200,41
1694850212706315800,45
1694850214671309000,49
1694850216637827000,53
1694850218601177300,57
1694850220565970000,61
1694850222481125600,65
1694850224445261800,69
1694850226410329000,73
1694850228375170600,77
1694850230340134000,81
1694850232304828000,85
1694850234270244900,88
1694850236237074000,95
1694850238199730700,99
1694850240164613400,102
1694850247973564200,115
1694850249938716700,119
1694850251903431000,125
1694850253868136000,129
1694850255835925500,133
1694850257798366500,135
1694850259762961700,139
1694850261727870000,143
1694850263692647400,145
1694850265657397000,149
1694850267572078600,153
1694850269537422000,157
1694850271502057500,160
1694850273466652000,165
1694850275436677400,169
1694850277396455200,173
1694850279361226200,175
1694850281275678500,179
1694850283240852700,182
1694850285205784600,187
1694850287170455800,191
1694850289135457500,195
1694850291100419000,197
1694850293065288700,200
1694850295033440500,203
1694850296995636200,206
1694850298959925200,210
1694850300924785000,212
1694850302839627500,213
1694850310698830300,224
1694850312663669200,226
1694850314632431400,230
1694850316593594400,234
1694850324402696700,246
1694850326367702800,250
1694850328332311300,254
1694850330297753000,256
1694850332262345500,260
1694850334228500500,264
1694850336192001000,266
1694850338156637200,270
1694850340071391200,274
1694850342037870300,278
1694850344000977700,282
1694850345965998600,284
1694850347930875600,288
1694850349895751700,292
1694850351810159400,296
1694850353775181800,300
1694850355739917800,302
1694850357704901400,306
1694850359669352700,310
1694850361637064000,312
1694850363599612200,316
1694850365564310500,320
1694850367529069800,326
1694850369494007800,329
1694850371408713200,333
1694850373373513200,336
1694850375338440000,340
1694850377303070500,342
1694850379267970800,346
1694850381235768300,350
1694850383198229200,352
1694850385162463700,358
1694850387077674200,360
1694850389041802000,364
1694850391006825700,366
1694850392971573000,370
1694850394936985900,372
1694850396901535700,375
1694850398866237700,379
1694850400836057300,383
1694850402796045000,387
1694850426273533400,396
1694850428238973700,398
1694850430203740000,399
1694850432118212400,404
1694850434082734600,406
1694850436047664000,410
1694850438012509700,414
1694850439977720300,418
1694850441941989400,422
1694850443907292400,424
1694850445872031500,430
1694850447838014700,432
1694850449801723400,436
1694850451766546400,440
1694850453681394200,444
1694850455645899800,448
1694850457610968300,452
1694850459575776000,456
1694850461540543200,460
1694850463505479200,464
1694850465470402300,468
1694850467437131500,472
1694850469400246500,474
1694850471365054700,478
1694850473329805800,482
1694850475244378000,486
1694850477209165800,490
1694850479174239700,494
1694850481139292400,498
1694850483103996400,502
1694850485068960800,504
1694850487037108200,510
1694850488998815500,512
1694850490963613200,516
1694850492878611700,520
1694850494842976300,524
1694850496807765200,528
1694850498772624000,532
1694850500737964500,536
1694850502702335200,538
1694850504667273200,542
1694850506633653500,545
1694850512476796000,554
1694850514441403600,558
1694850516406315800,562
1694850518371015200,566
1694850520336030500,570
1694850522300915700,574
1694850524265765600,575
1694850526233842000,577
1694850528195476200,582
1694850530160385300,584
1694850532074829300,588
1694850534039934500,592
1694850536004791300,596
1694850537969408000,600
1694850539934327800,602
1694850541899364000,606
1694850543864085000,610
1694850545830999000,614
1694850547793693400,618
1694850549758940700,620
1694850551673395700,624
1694850553638463200,628
1694850555602976000,632
1694850557568023300,636
1694850559532781300,640
1694850561497956000,644
1694850563462826200,647
1694850565429127200,653
1694850567392289500,654
1694850569307091200,657
1694850571271669200,663
1694850573237444600,666
1694850575201556200,670
1694850577166251800,676
1694850579131318800,679
1694850581096259600,684
1694850592836228900,697
1694850594799855900,699
1694850596764809000,703
1694850598729430300,707
1694850600694596900,711
1694850602659444200,715
1694850604574022000,719
1694850606538878700,725
1694850608503778600,729
1694850610468407300,733
1694850612436672500,737
1694850614398595000,741
1694850616363070200,745
1694850618328070700,748
1694850620293201000,751
1694850622258506200,757
1694850624172201000,761
1694850626137203500,765
1694850628102168600,769
1694850630066824200,773
1694850632033558000,777
1694850633997220000,781
1694850635961572600,785
1694850637926487800,789
1694850639891473700,793
1694850641805842200,797
1694850643770719500,801
1694850645735623200,805
1694850647700548000,809
1694850649665531000,815
1694850651632625200,819
1694850653595088400,821
1694850655560016600,825
1694850657524941000,829
1694850659489821400,833
1694850661404556800,838
1694850663369389300,842
1694850665334305300,846
1694850667299102700,851
1694850669263975200,854
1694850671231920400,858
1694850679088279300,868
1694850681053192400,872
1694850682967682800,876
1694850684932666600,880
1694850686898082600,884
1694850688862355700,888
1694850690832080000,892
1694850692792150300,896
1694850694757712000,900
1694850696722010400,906
1694850698686720800,910
1694850700651683000,914
1694850702566122200,918
1694850704531131600,922
1694850706495987000,925
1694850708460982500,928
1694850710427170600,932
1694850712390911700,935
1694850714355659500,938
1694850716320368600,941
1694850718285353500,945
1694850720199950600,949
1694850722164765200,953
1694850745693228000,964
1694850747658394000,966
1694850749624310800,970
1694850759447293000,983
1694850761412288300,987
1694850769221546000,998
1694850771186195700,1002
1694850773151085600,1006
1694850775116519400,1007
1694850777081334500,1011
1694850800558714000,1023
1694850802523623700,1025
1694850804488672300,1028
1694850806453621500,1031
1694850808418684000,1035
1694850810383332000,1040
1694850812348112600,1042
1694850814312842200,1046
1694850816278229200,1048
1694850818192254000,1051
1694850820157116400,1054
1694850822122289000,1057
1694850824086895600,1063
1694850826051916000,1065
1694850828017328400,1069
1694850829982012700,1072
1694850831946489000,1078
1694850833911391700,1080
1694850835876462600,1084
1694850837841310500,1090
1694850839755885600,1094
1694850841720546000,1098
1694850843685779700,1102
1694850845650414600,1106
1694850847615206400,1110
1694850853510093300,1121
1694850855475247000,1122
1694850857440344000,1126
1694850859404969200,1132
1694850861369870300,1136
1694850863334944000,1139
1694850865249048300,1142
1694850867214177800,1146
1694850869179093500,1152
1694850871144099600,1156
1694850873108738000,1160
1694850875073889300,1164
1694850877038706000,1169
1694850879003398100,1171
1694850880968337700,1174
1694850882933144000,1180
1694850884897919700,1184
1694850892707246800,1195
1694850894671922200,1199
1694850896638237000,1201
1694850898601712400,1207
1694850900566536000,1211
1694850902531435800,1215
1694850904445950200,1219
1694850906410862300,1223
1694850908375587800,1227
1694850910340500200,1231
1694850912305436000,1235
1694850914270491400,1239
1694850916236593700,1245
1694850918200268000,1249
1694850920164902700,1253
1694850922129860000,1257
1694850924095067100,1261
1694850926009333500,1267
1694850927974144800,1271
1694850929939172400,1275
1694850931903945500,1279
1694850943642815700,1290
1694850945607640600,1294
1694850955435126300,1305
1694850957397720300,1308
1694850959361719000,1312
1694850961276462300,1314
1694850973065590500,1325
1694850975032222200,1327
1694850976944713000,1330
1694850978909865700,1331
1694850980874589700,1335
1694850982839712500,1339
1694850984804384000,1343
1694850986769273600,1348
1694850988734290200,1351
1694850990648540000,1356
1694850992613242000,1360
1694850994578813700,1363
1694851021985610000,1375
1694851023950625300,1377
1694851025915405300,1381
1694851027880761000,1384
1694851045513422800,1394
1694851047429240000,1396
1694851049392797700,1398
1694851051358230800,1404
1694851053322352400,1408
1694851055287451600,1409
1694851057201749200,1412
1694851059166892500,1415
1694851061131659500,1418
1694851063096882200,1421
1694851065061343700,1424
1694851067028750300,1427
1694851076800363500,1437
1694851078764841000,1441
1694851080730193000,1443
1694851082694519800,1449
1694851084659742000,1451
1694851086628956400,1454
1694851088589340200,1459
1694851090503660300,1463
1694851092468756700,1467
1694851094434800400,1470
1694851102292939300,1480
1694851104258433500,1484
1694851106222925800,1488
1694851108187667000,1494
1694851110102261000,1497
1694851112066952400,1502
1694851114035023400,1504
1694851115996974600,1507
1694851117961833700,1511
1694851119926833400,1515
1694851121891446300,1519
1694851123856563700,1522
1694851133634205200,1535
1694851135594929700,1538
1694851137560196400,1539
1694851139525123300,1543
1694851141439727600,1548
1694851143404169700,1553
1694851145369227300,1556
1694851147334154000,1560
1694851149299233500,1565
1694851151263771100,1570
1694851153231380700,1574
1694851155193675500,1578
1694851157158808000,1583
1694851159123237400,1586
1694851161038373000,1591
1694851163002648000,1594
1694851164967527000,1598
1694851166932519200,1601
1694851168897500700,1605
1694851170862135600,1608
1694851172829456600,1612
1694851174791923200,1616
1694851176757133600,1621
1694851184565650400,1633
1694851186530731500,1637
1694851188495419600,1641
1694851190460403500,1643
1694851192374687500,1647
1694851194339634400,1651
1694851196304516000,1655
1694851198269441300,1659
