time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694673228589000000,1.142,0,0,1,15.487000465393066,0,0,88.70000457763672,3.1354784,50.6871603
1694673229440000000,1.993,0,0,2.2470967769622803,25.44499969482422,0,0,89.0999984741211,3.1353357,50.6872264
1694673235706000000,8.258999755859374,0,0,3.652902364730835,25.570999145507812,0,0,89.5,3.1351199,50.6872516
1694673242581000000,15.134,0,0,6.3914408683776855,31.141000747680664,0,0,91.20000457763672,3.1345842,50.6879434
1694673269512000000,42.065,0,0,6.738762855529785,30.614999771118164,0,0,89.0999984741211,3.1333389,50.6888337
1694673289691000000,62.244,0,0,2.2718088626861572,17.45800018310547,0,0,90.30000305175781,3.1321891,50.6881016
1694673306742000000,79.29500024414062,0,0,3.1104671955108643,23.722999572753906,0,0,90.5,3.1313914,50.6874527
1694673309866000000,82.41899975585937,0,0,2.9424164295196533,43.678001403808594,0,0,90.5,3.1312538,50.6872453
1694673335931000000,108.484,0,0,13.865535736083984,53.4630012512207,0,0,82.70000457763672,3.1302645,50.6857312
1694673355655000000,128.208,0,0,5.516353607177734,68.29199981689453,0,0,77.5999984741211,3.1279197,50.6850189
1694673359232000000,131.785,0,0,100,172.10000610351562,0,0,77.5999984741211,3.1279226,50.6850259
1694673383971000000,156.524,0,0,6.554441928863525,47.12699890136719,0,0,78.30000305175781,3.1269127,50.6856456
1694673410414000000,182.96700024414062,0,0,3.0590336322784424,22.913999557495117,0,0,84,3.124898,50.6868673
1694673420742000000,193.29500024414062,0,0,2.0575883388519287,19.85099983215332,0,0,83.5999984741211,3.1244254,50.6870854
1694673425771000000,198.324,0,0,2.338615894317627,20.259000778198242,0,0,83.5999984741211,3.1244974,50.6870493
1694673430789000000,203.342,0,0,1.7721360921859741,18.06100082397461,0,0,83.5999984741211,3.1245674,50.6869877
1694673435814000000,208.36700024414063,0,0,1.9148472547531128,18.006999969482422,0,0,83.5999984741211,3.1244688,50.6870475
1694673440828000000,213.381,0,0,2.505683183670044,23.29199981689453,0,0,83.5999984741211,3.1245302,50.687035
1694673445932000000,218.485,0,0,1.79691743850708,16.78499984741211,0,0,83.5999984741211,3.1244544,50.6870307
1694673450949000000,223.502,0,0,2.030991554260254,26.177000045776367,0,0,83.5999984741211,3.1244865,50.6870201
1694673455967000000,228.52,0,0,2.016803503036499,16.18199920654297,0,0,83.5999984741211,3.1245945,50.6870488
1694673463085000000,235.638,0,0,1.930249571800232,18.788000106811523,0,0,83.5999984741211,3.1244321,50.6870261
1694673466002000000,238.55499975585937,0,0,2.0563464164733887,18.945999145507812,0,0,83.5999984741211,3.1244428,50.6870282
1694673473093000000,245.646,0,0,1.834363341331482,18.006999969482422,0,0,83.5999984741211,3.1245402,50.6869763
1694673478290000000,250.84299975585938,0,0,2.1468873023986816,20.701000213623047,0,0,83.9000015258789,3.1245445,50.6871297
1694673496253000000,268.806,0,0,1.4255388975143433,27.22599983215332,0,0,79.4000015258789,3.1230962,50.6872215
1694673519417000000,291.97,0,0,0,800,0,0,0,3.1246351,50.6886944
1694673550926000000,323.47900024414065,0,0,2.2345244884490967,16.50200080871582,0,0,69.30000305175781,3.1195601,50.6840385
1694673561798000000,334.3510002441406,0,0,3.4568724632263184,39.599998474121094,0,0,68,3.1192493,50.6836267
1694673565332000000,337.885,0,0,7.479101181030273,68.4000015258789,0,0,68,3.1192883,50.6836249
1694673576738000000,349.2909997558594,0,0,5.339358329772949,45.79399871826172,0,0,73.30000305175781,3.1187969,50.6829243
1694673595704000000,368.257,0,0,8.195294380187988,56.138999938964844,0,0,69.20000457763672,3.1172299,50.6844839
1694673617472000000,390.025,0,0,4.160250186920166,41.35300064086914,0,0,69.80000305175781,3.1159446,50.6853923
1694673623588000000,396.141,0,0,2.3867568969726562,29.066999435424805,0,0,70.0999984741211,3.116024,50.6854638
1694673628569000000,401.122,0,0,1,13.015999794006348,0,0,70.5999984741211,3.116387,50.6857629
1694673645664000000,418.217,0,0,26.625600814819336,116.0999984741211,0,0,72.5999984741211,3.1167095,50.6862155
1694673650504000000,423.057,0,0,24.552295684814453,135.60000610351562,0,0,72.5,3.1161049,50.6861168
