time,seconds_elapsed,steps
1694672543371911400,-8.080088623046874,0
1694672563032940000,11.58093994140625,10
1694672564995320600,13.543320556640625,12
1694672566959853600,15.507853515625,14
1694672568924632800,17.4726328125,18
1694672570889719600,19.437719482421876,23
1694672582631088400,31.17908837890625,35
1694672584593103600,33.141103515625,39
1694672586557786000,35.1057861328125,45
1694672588522486300,37.070486328125,51
1694672590487389200,39.03538916015625,55
1694672592401765600,40.949765625,59
1694672594366682000,42.91468212890625,63
1694672596331598800,44.879598876953125,67
1694672598296230700,46.84423071289063,71
1694672600260806700,48.808806640625,75
1694672602229229000,50.77722900390625,79
1694672604140255700,52.688255859375,83
1694672606106335000,54.6543349609375,87
1694672608069702700,56.61770263671875,91
1694672610037582600,58.58558251953125,95
1694672611999665700,60.547665771484375,97
1694672623737767200,72.28576708984374,110
1694672688274415600,136.82241552734374,119
1694672690239328800,138.78732885742187,122
1694672692204611000,140.75261108398436,125
1694672694168266200,142.7162663574219,129
1694672696082809000,144.63080908203125,131
1694672698047547000,146.595546875,135
1694672700012483800,148.56048388671874,136
1694672713715886600,162.26388647460936,147
1694672715680477200,164.22847729492187,149
