time,steps
1694856290969824500,0
1694856311060895200,9
1694856313027028200,10
1694856314990430200,12
1694856318921394200,21
1694856320886255000,22
1694856322851198200,26
1694856324816678000,30
1694856326730971600,36
1694856328696129800,40
1694856330661651500,44
1694856332629322000,48
1694856334591476500,52
1694856336556693500,56
1694856338521855500,60
1694856340486802200,64
1694856342451748600,68
1694856344416591400,72
1694856346381932500,76
1694856348347038700,80
1694856350312230400,84
1694856352276967700,90
1694856354192085500,92
1694856356159401500,98
1694856358122262000,102
1694856360087097900,106
1694856362052382200,110
1694856364017468200,114
1694856365982625000,118
1694856367947661800,122
1694856369912516900,126
1694856371877591000,128
1694856373842513400,132
1694856375807676200,136
1694856377772702200,140
1694856379737737200,144
1694856381702893000,148
1694856383617567700,152
1694856385582838500,156
1694856387547878000,160
1694856389512946000,164
1694856391477897700,168
1694856393442906600,172
1694856395408126700,176
1694856397372982500,180
1694856399338370000,184
1694856401303268600,190
1694856403268153600,194
1694856405237624600,198
1694856407198588000,204
1694856409163348700,208
1694856411129542000,212
1694856413093751800,216
1694856415058370000,222
1694856417025378800,224
1694856418988904200,230
1694856420953775600,234
1694856422918823400,238
1694856424883681500,242
1694856426849000200,246
1694856428814078700,250
1694856430779143700,254
1694856432693777200,258
1694856434709110300,262
1694856436627972400,266
1694856438589005300,270
1694856440553909500,274
1694856442519437300,278
1694856444534479600,282
1694856446448949500,286
1694856448414327000,290
1694856450379603500,294
1694856452344390700,298
1694856454309409300,304
1694856456324737300,308
1694856458289857300,312
1694856460204627000,316
1694856462169751800,320
1694856464134745900,324
1694856530038058800,337
1694856532002159600,339
1694856533967100400,343
1694856535932180200,347
1694856537897108500,351
1694856539862536200,355
1694856541829760000,359
1694856543792440300,363
1694856545757434000,367
1694856547722587400,371
1694856549687544000,377
1694856551652433700,381
1694856553617793800,383
1694856555582700500,389
1694856557547757300,393
1694856559462637300,397
1694856561477888500,401
1694856563392809200,405
1694856565357562400,411
1694856567322752300,414
1694856569287600000,419
1694856571252771600,423
1694856573217909200,427
1694856575183172600,431
1694856577198133500,437
1694856579112829400,440
1694856581077947100,443
1694856583043371500,447
1694856585008264000,453
1694856586973498600,457
1694856588938458600,461
1694856590903342000,465
1694856592868457500,469
1694856594836364800,475
1694856596798662100,479
1694856598763707400,483
1694856600729801500,487
1694856602693783800,491
1694856604658605300,497
1694856606627642400,499
1694856608588960800,503
1694856610503669500,507
1694856612468734000,511
1694856614436701000,515
1694856616399003400,519
1694856618364064500,524
1694856620278421500,529
1694856622243573800,531
1694856624208633000,535
1694856626173802800,539
1694856628138692600,543
1694856630104027600,547
1694856632068882000,553
1694856634036911400,557
1694856635999334100,561
1694856637964371700,565
1694856639878717700,571
1694856641843749000,574
1694856643809067300,577
1694856645773940000,583
1694856647738896000,587
1694856649704281900,591
1694856651669089800,595
1694856653637135600,599
1694856655599633200,605
1694856657564347400,609
1694856659530059800,613
1694856661494542000,617
1694856663460062500,621
1694856665427438300,625
1694856667389750300,629
1694856669304523000,633
1694856671269284000,636
1694856673237435100,640
1694856675199860700,642
1694856677164605700,646
1694856679129543700,650
1694856681044222700,654
1694856683009577700,658
1694856684974363400,664
1694856696714493400,675
1694856698679841300,679
1694856700644683000,683
1694856702609753000,687
1694856704574770000,691
1694856706540316700,695
1694856708505120800,699
1694856710469948700,705
1694856712437685000,709
1694856714400078000,713
1694856722210139000,724
1694856724174953000,728
1694856726140223500,729
1694856728105371600,732
1694856730070297900,735
1694856741860736300,746
1694856743829270800,748
1694856745790901800,752
1694856747755957800,756
1694856749721028000,760
1694856751686307000,763
1694856802777933800,775
1694856818448297200,784
1694856820413228000,788
1694856822378337300,791
1694856834168831200,801
1694856836134072800,805
1694856838098856200,809
1694856840013635000,810
1694856842032701700,814
1694856843944147700,817
1694856845959726300,822
1694856847924463000,823
1694856857699634000,835
1694856859664546800,837
1694856861631985700,841
1694856869489892400,852
1694856871455093200,854
1694856873420496000,856
1694856875385205200,860
1694856877300873500,864
1694856879265023200,866
1694856881233139500,872
1694856883195019000,876
1694856885160844300,880
1694856887125486300,884
1694856889090294800,888
1694856891055466800,892
1694856892970146800,896
1694856894935321900,900
1694856896900985300,904
1694856898865595000,908
1694856900834397000,912
1694856902795650300,916
1694856904760936700,920
1694856906776324900,924
1694856908691267600,928
1694856910656343000,932
1694856912622514400,938
1694856914536400000,940
1694856916501510100,944
1694856918466452700,948
1694856920434616800,952
1694856922396723000,956
1694856924362222000,960
1694856926328118000,966
1694856928298766000,970
1694856930257244400,976
1694856932171984600,980
1694856934136870000,984
1694856936102077200,988
1694856938067346200,992
1694856940034910500,996
1694856941997405400,1000
1694856943962481000,1004
1694856945928722000,1008
1694856947892654600,1011
1694856949857727500,1015
1694856951772472300,1017
1694856953737497300,1021
1694856955702747400,1025
1694856957667704000,1028
1694856959635459300,1033
1694856961597912600,1039
1694856963562868700,1041
1694856965529778000,1045
1694856967493128200,1051
1694856969458262500,1055
1694856971424343800,1059
1694856973388466200,1063
1694856975353458700,1067
1694856977318626300,1070
1694856979234237700,1075
1694856981198591700,1077
1694856983163234300,1083
1694856985129425200,1087
1694856994953857800,1098
1694856996918614000,1102
1694856998883772700,1106
1694857000849015800,1110
1694857002814151400,1116
1694857004779213000,1120
1694857006744337200,1124
1694857008709432300,1128
1694857010674290000,1134
1694857012639320600,1138
1694857014604435500,1142
1694857016569659400,1145
1694857018534465800,1148
1694857020449188000,1152
1694857022414216000,1156
1694857024379583500,1160
1694857026344427000,1164
1694857028309442600,1170
1694857030274526500,1173
1694857036169517300,1185
1694857038134572800,1187
1694857040099955000,1193
1694857042064822500,1197
1694857044033251600,1201
1694857045994753300,1205
1694857047960339200,1207
1694857049924922600,1213
1694857051889974000,1215
1694857053855178800,1219
1694857055820505000,1223
1694857057785079300,1227
1694857059750184400,1231
1694857061715510300,1235
1694857063680726500,1241
1694857065645546000,1243
1694857067610387500,1249
1694857069575650600,1253
1694857071591088400,1257
1694857073505601500,1261
1694857075470733800,1265
1694857077437689000,1269
1694857079401510100,1273
1694857081366197200,1277
1694857083330986000,1281
1694857085298593000,1285
1694857087261426400,1291
1694857089227910700,1295
1694857091191320000,1299
1694857093156263200,1303
1694857095121511000,1307
1694857097086658800,1311
1694857099051465700,1315
1694857101016507400,1319
1694857102981924600,1323
1694857104896011800,1329
1694857106861620200,1331
1694857108829357000,1335
1694857110791421400,1341
1694857112756379100,1345
1694857114721506800,1349
1694857116686497500,1352
1694857118651281700,1356
1694857120616539600,1357
