time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694672552897000000,0,0,1.0,12.588000297546388,0,0,85.4000015258789,3.1386363,50.6823955
1694672555397000000,0,0,1.0,18.07999992370605,0,0,85.4000015258789,3.138624,50.682402
1694672560377000000,0,0,1.0,12.088000297546388,0,0,85.30000305175781,3.1386468,50.6824967
1694672563350000000,0,0,1.0,22.29700088500977,0,0,85.0999984741211,3.1384371,50.6825676
1694672584378000000,0,0,1.1472156047821045,15.861000061035156,0,0,84.20000457763672,3.1378008,50.6831834
1694672606331000000,0,0,73.95999908447266,156.89999389648438,0,0,84.5,3.1374683,50.6831209
1694672623653000000,0,0,10.542991638183594,53.262001037597656,0,0,93.0999984741211,3.1401875,50.6844684
1694672626910000000,0,0,6.339428424835205,87.5999984741211,0,0,89.20000457763672,3.1399073,50.6848925
1694672638603000000,0,0,2.725550413131714,25.73500061035156,0,0,89.20000457763672,3.1399237,50.6850355
1694672643621000000,0,0,3.464869976043701,27.94700050354004,0,0,89.20000457763672,3.1399153,50.6850454
1694672648639000000,0,0,2.2848055362701416,41.25899887084961,0,0,89.20000457763672,3.1397062,50.684978
1694672653657000000,0,0,1.7578520774841309,17.60099983215332,0,0,89.20000457763672,3.1398037,50.6850777
1694672662156000000,0,0,1.66363787651062,34.57500076293945,0,0,89.0,3.1395323,50.6851446
1694672685722000000,0,0,1.8850723505020144,23.565000534057617,0,0,88.80000305175781,3.1397251,50.6857195
1694672705624000000,0,0,2.0239055156707764,18.891000747680664,0,0,87.5,3.1407045,50.6863788
1694672710967000000,0,0,2.21551775932312,23.937000274658203,0,0,87.9000015258789,3.1402983,50.686503
1694672729729000000,0,0,1.3218799829483032,22.59199905395508,0,0,87.5999984741211,3.1400874,50.6865786
