time,steps
1694672543371911400,0
1694672563032940000,10
1694672564995320600,12
1694672566959853600,14
1694672568924632800,18
1694672570889719600,23
1694672582631088400,35
1694672584593103600,39
1694672586557786000,45
1694672588522486300,51
1694672590487389200,55
1694672592401765600,59
1694672594366682000,63
1694672596331598800,67
1694672598296230700,71
1694672600260806700,75
1694672602229229000,79
1694672604140255700,83
1694672606106335000,87
1694672608069702700,91
1694672610037582600,95
1694672611999665700,97
1694672623737767200,110
1694672688274415600,119
1694672690239328800,122
1694672692204611000,125
1694672694168266200,129
1694672696082809000,131
1694672698047547000,135
1694672700012483800,136
1694672713715886600,147
1694672715680477200,149
