time,z,y,x
1694672551553178000,-40.96875,-2.4750001430511475,25.275001525878903
1694672551573182200,-42.0,-2.493750095367432,25.14375114440918
1694672551593195800,-41.681251525878906,-2.400000095367432,25.068750381469727
1694672551613221600,-42.22500228881836,-2.325000047683716,24.843751907348636
1694672551633251600,-43.368751525878906,-2.681250095367432,24.825000762939453
1694672551653283600,-41.28750228881836,-3.0187501907348637,25.443750381469727
1694672551673315800,-44.19375228881836,-3.3937501907348637,24.693750381469727
1694672551693335300,-41.17500305175781,-3.806250095367432,25.33125114440918
1694672551713354200,-41.493751525878906,-4.78125,25.406251907348636
1694672551733361400,-41.51250076293945,-5.4375,24.468751907348636
1694672551753364200,-41.73750305175781,-5.53125,23.756250381469727
1694672551773374000,-41.73750305175781,-6.243750095367432,23.53125
1694672551793368300,-40.81875228881836,-6.431250095367432,23.137500762939453
1694672551813369000,-41.75625228881836,-6.637500286102295,22.51875114440918
1694672551833357300,-40.81875228881836,-6.956250190734863,23.212501525878903
1694672551853343000,-40.6875,-7.218750476837158,24.037500381469727
1694672551873339600,-39.76875305175781,-6.956250190734863,23.64375114440918
1694672551893320200,-40.80000305175781,-6.862500190734863,23.53125
1694672551913320000,-41.53125,-6.356250286102295,23.137500762939453
1694672551933316400,-41.13750076293945,-6.525000095367432,22.725000381469727
1694672551953321500,-41.025001525878906,-6.018750190734863,22.443750381469727
1694672551973322000,-41.23125076293945,-6.637500286102295,22.42500114440918
1694672551993329700,-41.025001525878906,-5.925000190734863,22.23750114440918
1694672552013331700,-41.23125076293945,-6.018750190734863,22.631250381469727
1694672552033321700,-41.41875076293945,-5.118750095367432,23.17500114440918
1694672552053328600,-41.962501525878906,-5.400000095367432,22.23750114440918
1694672552073323000,-41.025001525878906,-5.137500286102295,22.162500381469727
1694672552093325800,-40.61250305175781,-5.137500286102295,22.162500381469727
1694672552113331200,-40.91250228881836,-4.856250286102295,22.162500381469727
1694672552133320200,-41.34375,-4.612500190734863,21.86250114440918
1694672552153330200,-41.025001525878906,-4.256250381469727,21.881250381469727
1694672552173328600,-41.53125,-4.068750381469727,21.881250381469727
1694672552193320700,-40.51875305175781,-4.612500190734863,21.28125
1694672552213312000,-41.025001525878906,-4.6875,22.087501525878903
1694672552233311000,-41.025001525878906,-4.256250381469727,21.787500381469727
1694672552253325600,-40.81875228881836,-4.6875,21.881250381469727
1694672552273333000,-40.70625305175781,-3.900000095367432,21.600000381469727
1694672552293334500,-41.32500076293945,-4.518750190734863,21.975000381469727
1694672552313331500,-41.34375,-4.800000190734863,21.356250762939453
