time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694672553232000000,44.400001525878906,3.799999952316284,134.6999969482422,8.5,2.8736941814422607,28.479999542236328,74.5,3.1385849999999995,50.68230833333334
1694672553838000000,47.5,2.799999952316284,132.5,8.100000381469727,0.0,28.479999542236328,76.4,3.1386200000000004,50.68236
1694672554338000000,47.900001525878906,2.5999999046325684,113.5999984741211,6.099999904632568,2.1016108989715576,40.630001068115234,84.2,3.138626666666667,50.68241166666667
1694672554838000000,50.70000076293945,2.0999999046325684,104.4000015258789,4.599999904632568,1.6491700410842896,43.93999862670898,84.6,3.1386283333333336,50.68242
1694672555838000000,91.0999984741211,3.0999999046325684,101.3000030517578,3.400000095367432,1.3161447048187256,37.709999084472656,81.30000000000001,3.1386116666666672,50.682423333333325
1694672557338000000,71.69999694824219,3.5,101.0999984741211,3.400000095367432,0.0,37.709999084472656,85.80000000000001,3.1386216666666664,50.682425
1694672558338000000,67.80000305175781,3.0999999046325684,101.0999984741211,3.400000095367432,1.9996957778930664,301.7900085449219,87.6,3.1386116666666672,50.68242833333333
1694672559338000000,55.900001525878906,3.0999999046325684,101.0,3.5,2.5015499591827397,295.489990234375,89.1,3.138595,50.68243166666666
1694672560338000000,24.200000762939453,2.400000095367432,101.0,3.5,3.842916011810303,315.0,89.7,3.1385750000000003,50.68244333333334
1694672561338000000,17.700000762939453,2.0999999046325684,101.0,3.5,5.008761882781982,306.260009765625,90.6,3.138488333333333,50.68251
1694672562338000000,18.5,2.200000047683716,101.0,3.5999999046325684,4.938244819641113,305.4599914550781,91.7,3.1384350000000003,50.68253
1694672563338000000,14.399999618530272,1.7999999523162842,100.9000015258789,3.5999999046325684,5.141045570373535,306.9100036621094,92.6,3.13838,50.682561666666665
1694672564338000000,12.899999618530272,1.899999976158142,122.0,7.300000190734863,6.039236068725586,308.7099914550781,89.2,3.1384016666666668,50.68267000000001
1694672566320000000,20.200000762939453,2.700000047683716,91.1999969482422,6.300000190734863,5.753050327301025,307.2099914550781,88.6,3.1382816666666664,50.68273333333333
1694672567320000000,16.899999618530273,2.5999999046325684,83.69999694824219,5.599999904632568,6.120562076568604,311.79998779296875,86.2,3.138195,50.68276666666667
1694672568320000000,12.800000190734863,2.400000095367432,67.5,5.0,6.972941875457764,317.2300109863281,85.9,3.1381183333333333,50.68279666666668
1694672569320000000,12.300000190734863,3.299999952316284,72.80000305175781,4.599999904632568,7.054267883300781,315.2200012207031,87.30000000000001,3.1380516666666667,50.68283833333333
1694672570320000000,11.399999618530272,3.299999952316284,69.69999694824219,3.700000047683716,6.44277811050415,311.9100036621094,87.9,3.1379766666666664,50.68287999999999
1694672571320000000,10.100000381469728,3.0,52.79999923706055,3.200000047683716,6.659476280212402,313.760009765625,86.9,3.1379166666666665,50.682921666666665
1694672572320000000,9.0,2.700000047683716,50.59999847412109,2.799999952316284,6.430939674377441,318.7099914550781,85.80000000000001,3.1378500000000003,50.68295499999999
1694672573320000000,9.5,2.799999952316284,47.59999847412109,2.700000047683716,5.946585655212402,323.1600036621094,83.1,3.1377866666666665,50.68297833333333
1694672574320000000,10.600000381469728,2.5,45.79999923706055,2.5999999046325684,5.009791374206543,323.32000732421875,82.9,3.137738333333333,50.68300666666667
1694672575320000000,14.800000190734863,2.799999952316284,36.79999923706055,2.5,4.150720119476318,325.2200012207031,82.6,3.1376950000000003,50.68303
1694672576320000000,14.199999809265137,2.400000095367432,37.0,2.5,3.449668407440185,341.4599914550781,83.30000000000001,3.13767,50.68305999999999
1694672577320000000,14.800000190734863,2.200000047683716,27.200000762939453,2.400000095367432,3.081641912460327,347.4200134277344,82.80000000000001,3.137661666666667,50.68308333333333
1694672578320000000,20.600000381469727,2.0,26.299999237060547,2.5,3.1269373893737797,7.5,83.0,3.137658333333333,50.683110000000006
1694672579320000000,16.700000762939453,2.0,26.5,2.400000095367432,4.020495414733887,22.780000686645508,82.6,3.1376800000000005,50.68314
1694672580320000000,16.799999237060547,2.0,25.0,2.400000095367432,4.5300703048706055,30.90999984741211,82.4,3.13772,50.68317333333333
1694672581320000000,15.199999809265137,2.0999999046325684,25.600000381469727,2.299999952316284,5.459144115447998,41.290000915527344,82.2,3.137775,50.683213333333335
1694672582320000000,10.300000190734863,1.600000023841858,26.700000762939453,2.299999952316284,6.020705699920654,50.52999877929688,82.7,3.1378533333333336,50.68324333333333
1694672583320000000,8.600000381469727,1.399999976158142,26.399999618530277,2.400000095367432,6.580208778381348,53.54999923706055,83.30000000000001,3.137928333333333,50.68328
1694672584320000000,10.199999809265137,1.600000023841858,27.100000381469727,2.299999952316284,6.372776031494141,49.91999816894531,83.30000000000001,3.137998333333333,50.68332
1694672585320000000,9.199999809265137,1.5,28.0,2.400000095367432,6.68315315246582,53.7599983215332,83.6,3.13807,50.68336166666666
1694672586320000000,9.399999618530272,1.600000023841858,28.899999618530277,2.5,6.643519878387451,55.77999877929688,83.5,3.138151666666667,50.68340166666667
1694672587320000000,10.0,1.600000023841858,30.600000381469727,2.5,6.492191314697266,51.75,84.30000000000001,3.1382216666666665,50.68344833333334
1694672588320000000,8.399999618530273,1.399999976158142,29.299999237060547,2.400000095367432,6.335201263427734,48.869998931884766,84.9,3.1382883333333336,50.68349333333334
1694672589320000000,8.100000381469727,1.2999999523162842,27.299999237060547,2.400000095367432,6.220932960510254,52.90999984741211,85.1,3.1383533333333333,50.683525
1694672590320000000,8.399999618530273,1.2999999523162842,27.100000381469727,2.400000095367432,5.933203220367432,56.869998931884766,85.5,3.138428333333333,50.68355499999999
1694672591320000000,10.100000381469728,1.5,24.299999237060547,2.400000095367432,6.022250175476074,55.34999847412109,85.6,3.138508333333333,50.68358666666666
1694672592320000000,8.800000190734863,1.5,23.399999618530277,2.299999952316284,6.302773475646973,51.43999862670898,85.9,3.1385849999999995,50.683620000000005
1694672593320000000,9.0,1.399999976158142,24.200000762939453,2.400000095367432,6.102546691894531,54.369998931884766,86.9,3.1386650000000005,50.68364499999999
1694672594320000000,8.100000381469727,1.2999999523162842,23.700000762939453,2.400000095367432,6.082472324371338,55.11000061035156,87.4,3.138736666666667,50.68367666666666
1694672595320000000,10.199999809265137,1.5,24.600000381469727,2.5,5.868348121643066,54.47999954223633,87.9,3.138811666666667,50.683706666666666
