time,seconds_elapsed,steps
1697611875805206500,-10.24079345703125,0
1697611904848622600,18.80262255859375,9
1697611912657332500,26.61133251953125,18
1697611914621875700,28.575875732421874,21
1697611916587244800,30.541244873046875,24
1697611932202884600,46.15688452148437,33
1697611934117417500,48.07141748046875,35
1697611936082021400,50.036021484375,39
1697611938046784800,52.00078466796875,43
1697611940011251700,53.965251708984376,47
1697611941925638700,55.879638671875,51
1697611943890324200,57.84432421875,55
1697611945855394000,59.80939404296875,59
1697611947819646200,61.77364624023438,63
1697611949734363000,63.68836279296875,67
1697611951700908000,65.65490795898438,71
1697611953663271700,67.61727172851562,75
1697611955577145300,69.53114526367187,81
1697611961471143200,75.42514306640625,90
1697611963387184400,77.34118432617187,91
1697611971193867800,85.14786767578126,104
1697611973158577200,87.1125771484375,108
1697611975123130000,89.07713012695312,112
1697611977037612300,90.9916123046875,114
1697611979002109400,92.956109375,120
1697611980966627800,94.9206279296875,124
1697611982931454000,96.88545385742188,128
1697611984845609700,98.79960961914063,132
1697611986810409500,100.76440942382813,136
1697611988724712700,102.67871264648437,140
1697611990689270800,104.64327075195312,144
1697611992655200300,106.6092001953125,148
1697611994618966800,108.572966796875,152
1697611996583606000,110.53760595703125,158
1697611998501564200,112.45556420898437,162
1697612000462606600,114.41660668945312,166
1697612002427242500,116.38124243164063,169
1697612004341598000,118.29559790039062,174
1697612006309238000,120.26323803710937,178
1697612008270932200,122.22493212890625,182
1697612010235527700,124.18952758789062,186
1697612012149912000,126.103912109375,189
1697612014114917000,128.06891723632813,193
1697612016079071000,130.03307104492188,196
1697612018043914200,131.99791430664064,199
1697612019958021400,133.912021484375,202
1697612021922614300,135.8766142578125,204
1697612023887434800,137.84143481445312,207
1697612025852200700,139.80620068359374,211
1697612027816768800,141.77076879882813,216
1697612029731208400,143.68520849609374,219
1697612031697728300,145.6517282714844,223
1697612033660364800,147.61436474609374,225
1697612035575318300,149.529318359375,228
1697612037539356400,151.4933564453125,232
1697612039507424000,153.46142407226563,236
1697612041468744000,155.42274389648438,239
1697612043382994200,157.336994140625,243
1697612045347520000,159.30152001953124,246
1697612047311783000,161.26578295898437,249
1697612049226514200,163.18051416015626,250
1697612051191326500,165.14532641601562,253
1697612053157252400,167.11125244140624,258
1697612055120623400,169.07462329101563,262
1697612057035156500,170.98915649414062,268
1697612058999523600,172.95352368164063,272
1697612060964257300,174.91825732421876,276
1697612062929022500,176.8830224609375,280
1697612064893873400,178.84787329101562,284
1697612066807897000,180.76189697265625,288
1697612068772502500,182.72650244140624,292
1697612070737296600,184.69129663085937,296
1697612072704519200,186.65851928710939,300
1697612074616372200,188.57037231445312,306
1697612076580861200,190.53486108398437,310
1697612078545690600,192.49969067382813,314
1697612080459649500,194.4136494140625,318
1697612082424595700,196.378595703125,320
1697612084389106000,198.34310595703124,326
1697612086355371500,200.30937158203125,330
1697612088268072700,202.22207275390625,334
1697612090232823800,204.18682373046875,338
1697612092197466600,206.15146655273438,342
1697612094162063600,208.11606372070312,346
1697612096076466000,210.0304658203125,350
1697612098041143800,211.99514379882814,352
1697612100005632800,213.9596328125,358
1697612101970310700,215.924310546875,361
1697612103884593200,217.83859326171876,366
1697612105849319200,219.80331909179688,370
1697612107814613000,221.76861303710936,374
1697612109778567200,223.73256713867187,378
1697612111692934700,225.6469345703125,382
1697612113657474600,227.611474609375,386
1697612115622282200,229.5762822265625,389
1697612125344785200,239.29878515625,401
1697612127309757700,241.2637578125,405
1697612129274463200,243.22846313476563,409
1697612131188246800,245.14224682617188,413
1697612133152918500,247.10691845703124,417
1697612135117581800,249.07158178710938,421
1697612137082231000,251.03623095703125,425
1697612138996573700,252.95057373046876,429
1697612140960969500,254.91496948242187,433
1697612142925727500,256.8797275390625,437
1697612144890293000,258.84429296875,440
1697612146804805400,260.7588054199219,443
1697612148769223200,262.72322314453123,449
1697612150734149000,264.68814916992187,451
1697612152702065400,266.6560654296875,455
1697612154612754400,268.56675439453124,461
1697612156577791200,270.5317912597656,463
1697612158542266000,272.49626611328125,469
1697612160457682700,274.4116826171875,473
1697612162421140500,276.37514038085936,477
1697612164385619500,278.3396193847656,480
1697612166350588200,280.30458813476565,483
1697612168264611600,282.2186115722656,489
1697612170229325800,284.18332592773436,493
1697612172194396200,286.1483962402344,497
1697612174110043400,288.06404345703123,501
1697612176073290200,290.0272902832031,505
1697612178037645300,291.9916452636719,509
1697612180002317600,293.95631762695314,513
1697612181916237000,295.87023706054686,519
1697612183881224400,297.83522436523435,521
1697612185845617400,299.7996174316406,527
1697612187810381000,301.76438110351563,529
1697612189724941300,303.67894140625,532
1697612191689101300,305.64310131835936,537
1697612193655082200,307.6090822753906,539
1697612207308960500,321.2629604492187,551
1697612209220017400,323.17401733398435,555
1697612211184617500,325.1386174316406,559
