time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1697611888784000000,2.738,179.89999389648438,4.099999904632568,109.69999694824219,8.699999809265137,0,0,89.30000000000001,3.1160233333333336,50.686175000000006
1697611889284000000,3.238,88.19999694824219,3.299999952316284,84.4000015258789,7.699999809265137,0,0,87.9,3.116506666666667,50.68633666666666
1697611889784000000,3.738,117.5999984741211,2.799999952316284,80.9000015258789,7.099999904632568,0,0,90.4,3.116601666666667,50.68642499999999
1697611890784000000,4.738,179.89999389648438,3.4000000953674316,67.30000305175781,6.400000095367432,0.32478973269462585,56.41999816894531,84,3.116698333333333,50.686465
1697611892284000000,6.238,179.89999389648438,3.5999999046325684,62.5,6.199999809265137,0,56.41999816894531,90.2,3.116706666666667,50.68647166666666
1697611893284000000,7.238,149.5,2.700000047683716,58,6,0.6681094169616699,331.44000244140625,89.80000000000001,3.11673,50.686499999999995
1697611894284000000,8.238,75.30000305175781,2.200000047683716,55.29999923706055,5.800000190734863,1.1833463907241821,310.5299987792969,86,3.1167266666666666,50.686524999999996
1697611895284000000,9.238,55,2,54.70000076293945,5.699999809265137,0,310.5299987792969,83.5,3.1167116666666668,50.68654333333334
1697611896284000000,10.238,49.20000076293945,2.5999999046325684,51.099998474121094,5.5,2.0449914932250977,314.8900146484375,84,3.116685,50.686550000000004
1697611897284000000,11.238,40.79999923706055,2.299999952316284,45.900001525878906,5.300000190734863,2.2302913665771484,312.92999267578125,83.6,3.116653333333333,50.686565
1697611898284000000,12.238,31.700000762939453,1.899999976158142,42.400001525878906,5,2.3862521648406982,311.510009765625,82,3.116631666666667,50.686589999999995
1697611899284000000,13.238,38.20000076293945,2.5,37.79999923706055,4.699999809265137,2.1968343257904053,326.239990234375,83.4,3.11661,50.68661
1697611900284000000,14.238,25.399999618530273,2.0999999046325684,24,3.299999952316284,2.487137794494629,2.5399999618530273,79.9,3.116683333333333,50.68667666666667
1697611901284000000,15.238,26.5,2,22.399999618530273,3,2.6194214820861816,7.5,78.80000000000001,3.116715,50.68671500000001
1697611902284000000,16.238,19.5,1.7999999523162842,19,2.799999952316284,3.05745005607605,13.079999923706055,78.80000000000001,3.116743333333333,50.686765
1697611903284000000,17.238,16,1.600000023841858,17.100000381469727,2.5999999046325684,3.1274521350860596,12.5600004196167,78.30000000000001,3.116765,50.68679333333333
1697611904284000000,18.238,25,2.0999999046325684,17.5,2.700000047683716,2.6348631381988525,8.4399995803833,78,3.116775,50.686821666666674
1697611905284000000,19.238,34.900001525878906,2.0999999046325684,17.899999618530273,2.700000047683716,2.035726308822632,16.209999084472656,77.4,3.1167833333333332,50.68684666666666
1697611906284000000,20.238,52.099998474121094,1.899999976158142,14.199999809265137,2.5,1.2626136541366577,19.75,77.6,3.1167833333333332,50.68685833333334
1697611907284000000,21.238,35.79999923706055,1.7000000476837158,13.399999618530273,2.4000000953674316,2.3512511253356934,8.329999923706055,77.80000000000001,3.116786666666667,50.68687666666666
1697611908284000000,22.238,35.400001525878906,2,12.600000381469727,2.4000000953674316,2.3126468658447266,358.1099853515625,77.6,3.116778333333334,50.68689666666668
1697611909284000000,23.238,34,2,12.100000381469727,2.299999952316284,2.319338321685791,335.67999267578125,77,3.116756666666667,50.686911666666674
1697611910284000000,24.238,30.200000762939453,2.299999952316284,11.800000190734863,2.299999952316284,2.3666927814483643,320.0799865722656,76.7,3.1167249999999997,50.686931666666666
1697611911284000000,25.238,24.5,2.299999952316284,12.199999809265137,2.4000000953674316,2.4691224098205566,315.07000732421875,76.2,3.1166816666666666,50.68695833333333
1697611912284000000,26.238,17.799999237060547,1.899999976158142,12.300000190734863,2.299999952316284,2.585449695587158,310.3599853515625,75.9,3.116633333333333,50.68698833333333
1697611913284000000,27.238,17.399999618530273,2.0999999046325684,13.100000381469727,2.5,2.7619993686676025,309.7099914550781,75.7,3.116578333333334,50.68701666666666
1697611914284000000,28.238,8.800000190734863,1.5,14,2.700000047683716,3.162968158721924,302.20001220703125,75.7,3.116498333333333,50.68704833333333
1697611915284000000,29.238,9.199999809265137,1.5,14.600000381469727,2.799999952316284,3.6174678802490234,297.82000732421875,75.30000000000001,3.116411666666666,50.68707833333333
1697611916284000000,30.238,8.199999809265137,1.2999999523162842,15,2.799999952316284,4.088438510894775,292.1499938964844,74.6,3.116328333333333,50.68710166666666
1697611917284000000,31.238,9.5,1.2999999523162842,12,2.5,4.435361385345459,286.54998779296875,73.2,3.1162433333333337,50.68712333333333
1697611918284000000,32.238,15.699999809265137,1.7999999523162842,11.600000381469727,2.4000000953674316,4.657721519470215,286.92999267578125,72.9,3.1161733333333332,50.687129999999996
1697611919284000000,33.238,14.899999618530273,1.2999999523162842,11.100000381469727,2.299999952316284,4.746253490447998,286.1000061035156,72.4,3.1161333333333334,50.68714
1697611920284000000,34.238,28,1.600000023841858,10.899999618530273,2.299999952316284,4.692722320556641,284.1499938964844,71.80000000000001,3.1160966666666665,50.68715166666666
1697611921284000000,35.238,36.099998474121094,1.600000023841858,10.899999618530273,2.299999952316284,4.518746376037598,289.05999755859375,71.5,3.116075,50.68715666666667
1697611922284000000,36.238,31.600000381469727,1.399999976158142,10.699999809265137,2.299999952316284,4.276312351226807,291.989990234375,71.5,3.1160516666666664,50.68716333333334
1697611923284000000,37.238,31.799999237060547,1.600000023841858,10.199999809265137,2.200000047683716,3.9927003383636475,289.6499938964844,71.1,3.116025,50.68717333333334
1697611924284000000,38.238,32.900001525878906,1.7999999523162842,10.300000190734863,2.200000047683716,3.5634219646453857,289.20001220703125,71.2,3.115988333333333,50.687180000000005
1697611925284000000,39.238,24.799999237060547,1.399999976158142,10.199999809265137,2.0999999046325684,3.122819662094116,308.1199951171875,70.7,3.115958333333333,50.6872
1697611926284000000,40.238,26.799999237060547,1.7999999523162842,10.399999618530273,2.0999999046325684,2.784132480621338,322.7099914550781,70.7,3.115928333333333,50.68721833333334
1697611927284000000,41.238,35.20000076293945,2.200000047683716,10.399999618530273,2,2.50309419631958,334.010009765625,71,3.1159049999999997,50.68723833333333
1697611928284000000,42.238,27.100000381469727,2.299999952316284,10.699999809265137,2.200000047683716,2.377501964569092,355.1600036621094,71.4,3.1159049999999997,50.68727166666666
1697611929284000000,43.238,21.100000381469727,2.299999952316284,10.600000381469727,2.299999952316284,2.438239097595215,9.6899995803833,71.80000000000001,3.115921666666667,50.687311666666666
1697611930284000000,44.238,15.199999809265137,2,10.199999809265137,2.200000047683716,2.6755261421203613,16.270000457763672,72,3.1159600000000003,50.687369999999994
1697611931284000000,45.238,10.600000381469727,1.7000000476837158,10.800000190734863,2.4000000953674316,3.040464162826538,15.90999984741211,72.1,3.1159833333333333,50.68741833333333
1697611932284000000,46.238,9.600000381469727,1.5,11.5,2.5999999046325684,3.42753529548645,14.960000038146973,72.1,3.1160083333333337,50.68746833333333
1697611933284000000,47.238,8.899999618530273,1.5,12.199999809265137,2.700000047683716,3.822327136993408,16.459999084472656,72.2,3.1160350000000006,50.68752166666666
1697611934284000000,48.238,8.800000190734863,1.600000023841858,13,2.700000047683716,4.2330756187438965,17.329999923706055,72.4,3.11607,50.68758
1697611935284000000,49.238,8.899999618530273,1.600000023841858,13.600000381469727,2.799999952316284,4.67933988571167,16.770000457763672,72.4,3.1161016666666663,50.687639999999995
1697611936284000000,50.238,8,1.5,13.899999618530273,2.799999952316284,5.108618259429932,18.440000534057617,72.5,3.1161383333333332,50.68769999999999
1697611937284000000,51.238,8.199999809265137,1.5,14.300000190734863,2.9000000953674316,5.548705577850342,18.079999923706055,72.4,3.116171666666667,50.68776166666667
1697611938284000000,52.238,8.300000190734863,1.600000023841858,13.600000381469727,2.9000000953674316,5.934232711791992,17.780000686645508,72.2,3.1162066666666663,50.68782666666666
1697611939284000000,53.238,8.100000381469727,1.5,13.600000381469727,2.9000000953674316,6.230712413787842,17.739999771118164,72.2,3.116238333333334,50.68788500000001
1697611940284000000,54.238,7.699999809265137,1.5,13.800000190734863,3,6.431454181671143,19.459999084472656,72.1,3.11627,50.68794333333334
1697611941284000000,55.238,8.199999809265137,1.5,14,3,6.535942554473877,19.860000610351562,71.9,3.1163000000000003,50.687999999999995
1697611942284000000,56.238,9.300000190734863,1.7000000476837158,14.300000190734863,3.0999999046325684,6.644549369812012,17.3799991607666,72,3.11633,50.68805833333332
1697611943284000000,57.238,10.800000190734863,1.899999976158142,14.399999618530273,3.0999999046325684,6.7124924659729,16.190000534057617,72.2,3.1163549999999995,50.68811833333333
1697611944284000000,58.238,10.100000381469727,1.899999976158142,14.399999618530273,3.0999999046325684,6.769626617431641,16.5,72.4,3.11638,50.688178333333326
1697611945284000000,59.238,9.199999809265137,1.7000000476837158,12.699999809265137,2.9000000953674316,6.929190635681152,16.229999542236328,73.1,3.1164050000000003,50.68824500000001
1697611946284000000,60.238,9.100000381469727,1.7000000476837158,12.399999618530273,2.799999952316284,6.644549369812012,16.8700008392334,73.7,3.116433333333333,50.68830833333333
1697611947284000000,61.238,10.199999809265137,1.7999999523162842,12.399999618530273,2.799999952316284,6.508147716522217,16.309999465942383,74,3.1164633333333334,50.688365000000005
1697611948284000000,62.238,7.800000190734863,1.600000023841858,12.5,2.700000047683716,7.240082740783691,18.56999969482422,74.6,3.1165000000000003,50.688426666666665
1697611949284000000,63.238,10.199999809265137,1.899999976158142,12.600000381469727,2.5999999046325684,6.774774074554443,16.420000076293945,76.1,3.11653,50.68848500000001
1697611950284000000,64.238,9.699999809265137,1.7999999523162842,12.600000381469727,2.5999999046325684,6.639401912689209,20.690000534057617,76.2,3.116566666666667,50.688543333333335
1697611951284000000,65.238,9.5,1.7000000476837158,12.5,2.5999999046325684,7.087210178375244,14.65999984741211,76.4,3.116601666666667,50.68861333333333
1697611952284000000,66.238,8.600000381469727,1.600000023841858,12.600000381469727,2.5,7.077430725097656,16.530000686645508,76.6,3.1166283333333333,50.68868666666667
