time,seconds_elapsed,z,y,x
1694674020656083200,0.093083251953125,-50.812503814697266,-4.818750381469727,-13.08750057220459
1694674020676088000,0.113088134765625,-50.212501525878906,-5.381250381469727,-14.081250190734863
1694674020696100000,0.13310009765625,-49.89375305175781,-5.831250190734863,-14.49375057220459
1694674020716124000,0.1531240234375,-50.437503814697266,-5.325000286102295,-15.61875057220459
1694674020736148500,0.1731484375,-50.343753814697266,-6.825000286102295,-15.543750762939453
1694674020756178000,0.193177978515625,-50.343753814697266,-7.556250095367432,-15.862500190734863
1694674020776212200,0.213212158203125,-49.10625076293945,-8.231250762939453,-15.468750953674316
1694674020796224300,0.233224365234375,-49.63125228881836,-8.456250190734863,-16.387500762939453
1694674020816238800,0.25323876953125,-48.91875076293945,-7.668750286102295,-17.17500114440918
1694674020836243000,0.273242919921875,-48.525001525878906,-8.40000057220459,-18.28125
1694674020856250600,0.293250732421875,-47.70000076293945,-8.0625,-19.387500762939453
1694674020876250600,0.313250732421875,-47.19375228881836,-8.081250190734863,-19.875
1694674020896244700,0.33324462890625,-47.625,-8.456250190734863,-20.90625
1694674020916245500,0.35324560546875,-47.92500305175781,-7.668750286102295,-20.587501525878906
1694674020936241400,0.373241455078125,-47.71875,-7.293750286102295,-20.568750381469727
1694674020956244500,0.393244384765625,-48.337501525878906,-6.412500381469727,-20.55000114440918
1694674020976235300,0.4132353515625,-48.843753814697266,-6.506250381469727,-20.568750381469727
1694674020996231000,0.43323095703125,-48.431251525878906,-5.793750286102295,-20.325000762939453
1694674021016234500,0.453234375,-48.01875305175781,-5.4375,-20.625
1694674021036233500,0.4732333984375,-47.8125,-5.456250190734863,-21.431251525878906
1694674021056232000,0.49323193359375,-47.51250076293945,-4.3125,-21.993751525878906
1694674021076226600,0.5132265625,-47.83125305175781,-4.331250190734863,-22.5
1694674021096234200,0.533234130859375,-47.306251525878906,-3.8062500953674316,-22.481250762939453
1694674021116231700,0.553231689453125,-47.306251525878906,-3.7125000953674316,-22.6875
1694674021136221700,0.5732216796875,-47.306251525878906,-2.4750001430511475,-22.556251525878906
1694674021156221200,0.59322119140625,-47.306251525878906,-2.5687501430511475,-22.743751525878906
1694674021176217000,0.613217041015625,-47.41875076293945,-2.325000047683716,-23.45625114440918
1694674021196221700,0.6332216796875,-47.00625228881836,-1.256250023841858,-23.306251525878906
1694674021216221400,0.653221435546875,-47.32500076293945,-1.162500023841858,-23.92500114440918
1694674021236217000,0.673217041015625,-47.00625228881836,-0.01875000074505806,-23.681251525878906
1694674021256221400,0.693221435546875,-47.00625228881836,-0.375,-23.887500762939453
1694674021276232000,0.71323193359375,-46.6875,0.3375000059604645,-23.868751525878906
1694674021296236000,0.733236083984375,-47.306251525878906,0.8437500596046448,-24.262500762939453
1694674021316238800,0.75323876953125,-46.57500076293945,2.0812501907348633,-24.525001525878906
1694674021336233000,0.77323291015625,-46.89375305175781,2.4375,-24.712501525878906
1694674021356235000,0.793235107421875,-46.59375,2.8687500953674316,-25.218751907348633
1694674021376243700,0.81324365234375,-45.95625305175781,4.481250286102295,-24.750001907348633
1694674021396227300,0.833227294921875,-46.89375305175781,4.706250190734863,-25.875001907348633
1694674021416221400,0.853221435546875,-45.65625,5.268750190734863,-25.631250381469727
1694674021436213200,0.873213134765625,-45.75,4.818750381469727,-25.650001525878906
1694674021456214500,0.893214599609375,-45.431251525878906,4.818750381469727,-25.837501525878906
1694674021476219400,0.913219482421875,-45.26250076293945,5.137500286102295,-27.243751525878906
1694674021496219400,0.933219482421875,-44.75625228881836,5.362500190734863,-28.856250762939453
1694674021516226600,0.9532265625,-41.775001525878906,6.637500286102295,-31.481250762939453
1694674021536228400,0.973228271484375,-39.11250305175781,7.293750286102295,-33.95625305175781
1694674021556236800,0.99323681640625,-34.66875076293945,10.162500381469727,-37.14375305175781
1694674021576238800,1.01323876953125,-31.875001907348633,12.71250057220459,-38.75625228881836
1694674021596236300,1.033236328125,-28.631250381469727,17.850000381469727,-39.16875076293945
1694674021616241200,1.0532412109375,-26.962501525878906,21.48750114440918,-39.54375076293945
1694674021636232700,1.073232666015625,-24.86250114440918,25.23750114440918,-39.30000305175781
1694674021656225500,1.0932255859375,-22.087501525878906,30.281251907348633,-36.48750305175781
1694674021676231700,1.113231689453125,-21.01875114440918,33.31875228881836,-35.587501525878906
1694674021696232400,1.133232421875,-20.137500762939453,36.76875305175781,-32.75625228881836
1694674021716240400,1.153240478515625,-19.78125,39.03750228881836,-31.162500381469727
1694674021736225300,1.173225341796875,-17.943750381469727,40.72500228881836,-27.468751907348633
1694674021756219600,1.1932197265625,-18.543750762939453,41.90625,-26.025001525878906
1694674021776213800,1.2132138671875,-18.09375,42.50625228881836,-23.775001525878906
1694674021796203000,1.233203125,-17.887500762939453,43.05000305175781,-23.25
1694674021816209400,1.25320947265625,-18.39375114440918,44.025001525878906,-23.137500762939453
1694674021836210700,1.273210693359375,-15.581250190734863,44.13750076293945,-22.78125
1694674021856219400,1.293219482421875,-14.86875057220459,45.01875305175781,-23.25
1694674021876222000,1.313221923828125,-13.593750953674316,45.39375305175781,-22.725000381469727
1694674021896220200,1.33322021484375,-12.131250381469727,46.10625076293945,-22.275001525878906
1694674021916225500,1.3532255859375,-10.237500190734863,47.04375076293945,-21.01875114440918
1694674021936225800,1.373225830078125,-9.600000381469727,47.94375228881836,-20.26875114440918
1694674021956233000,1.39323291015625,-9.99375057220459,48.41250228881836,-19.443750381469727
1694674021976230000,1.41322998046875,-11.006250381469727,49.44375228881836,-17.212501525878906
1694674021996227600,1.4332275390625,-11.081250190734863,49.63125228881836,-16.3125
1694674022016233000,1.45323291015625,-12.52500057220459,49.593753814697266,-14.512500762939453
1694674022036233200,1.473233154296875,-12.90000057220459,51.056251525878906,-12.768750190734863
1694674022056233000,1.49323291015625,-12.225000381469727,51.58125305175781,-9.318750381469727
1694674022076228400,1.513228271484375,-12.71250057220459,51.993751525878906,-6.881250381469727
1694674022096232000,1.53323193359375,-12.693750381469727,52.462501525878906,-6.168750286102295
1694674022116230100,1.553230224609375,-12.656250953674316,51.97500228881836,-3.843750238418579
1694674022136221000,1.573220947265625,-12.356250762939453,52.968753814697266,-3.918750047683716
1694674022156221000,1.593220947265625,-10.893750190734863,52.593753814697266,-4.40625
1694674022176228600,1.613228515625,-10.725000381469727,52.29375076293945,-5.925000190734863
1694674022196219400,1.633219482421875,-10.012500762939453,51.562503814697266,-6.956250190734863
1694674022216230400,1.65323046875,-9.168750762939453,51.750003814697266,-6.731250286102295
1694674022236235300,1.6732353515625,-7.593750476837158,52.125003814697266,-5.887500286102295
1694674022256234800,1.69323486328125,-6.843750476837158,52.81875228881836,-3.637500047683716
1694674022276241400,1.713241455078125,-7.031250476837158,53.08125305175781,-3.637500047683716
1694674022296242200,1.7332421875,-7.237500190734863,52.406253814697266,-2.25
1694674022316242700,1.75324267578125,-7.537500381469727,53.13750076293945,-1.21875
1694674022336234800,1.77323486328125,-8.662500381469727,51.993751525878906,-0.26250001788139343
1694674022356235500,1.793235595703125,-7.931250095367432,52.53750228881836,-0.03750000149011612
1694674022376243500,1.813243408203125,-7.406250476837158,52.368751525878906,-0.3375000059604645
1694674022396227000,1.83322705078125,-7.293750286102295,52.368751525878906,-0.03750000149011612
1694674022416220700,1.853220703125,-7.612500190734863,52.70625305175781,-0.3375000059604645
1694674022436212200,1.873212158203125,-5.831250190734863,52.76250076293945,1.1062500476837158
1694674022456213200,1.893213134765625,-5.606250286102295,53.400001525878906,2.0250000953674316
1694674022476218000,1.913218017578125,-5.006250381469727,52.85625076293945,1.0125000476837158
1694674022496218000,1.933218017578125,-5.418750286102295,52.837501525878906,0.39375001192092896
1694674022516225800,1.953225830078125,-5.34375,52.61250305175781,-0.9000000357627869
1694674022536227600,1.9732275390625,-5.118750095367432,52.38750076293945,0.1875
1694674022556225000,1.99322509765625,-5.325000286102295,52.91250228881836,0.5062500238418579
1694674022576230000,2.01322998046875,-6.675000190734863,51.937503814697266,0.65625
1694674022596229600,2.033229736328125,-7.087500095367432,52.125003814697266,0.65625
1694674022616236500,2.053236572265625,-7.181250095367432,51.50625228881836,0.956250011920929
1694674022636230100,2.073230224609375,-6.656250476837158,52.05000305175781,1.162500023841858
1694674022656241400,2.093241455078125,-5.831250190734863,52.23750305175781,1.2937500476837158
1694674022676244700,2.11324462890625,-5.081250190734863,52.968753814697266,2.231250047683716
1694674022696242700,2.13324267578125,-5.831250190734863,52.593753814697266,1.40625
1694674022716252200,2.153252197265625,-5.100000381469727,52.500003814697266,1.40625
1694674022736232000,2.17323193359375,-4.368750095367432,52.593753814697266,1.8375000953674316
1694674022756222700,2.19322265625,-4.050000190734863,51.900001525878906,2.1187500953674316
1694674022776214500,2.213214599609375,-4.668750286102295,52.42500305175781,2.1187500953674316
1694674022796216800,2.233216796875,-4.6875,52.16250228881836,2.1187500953674316
1694674022816219400,2.253219482421875,-4.256250381469727,52.35000228881836,2.1187500953674316
1694674022836222000,2.273221923828125,-4.875,51.91875076293945,2.512500047683716
1694674022856226800,2.293226806640625,-5.306250095367432,52.593753814697266,1.818750023841858
1694674022876238000,2.313238037109375,-5.493750095367432,52.70625305175781,2.325000047683716
1694674022896231200,2.333231201171875,-5.625,52.42500305175781,1.7062500715255737
1694674022916233000,2.35323291015625,-5.193750381469727,52.687503814697266,1.5187500715255737
1694674022936230100,2.373230224609375,-5.006250381469727,52.14375305175781,1.40625
1694674022956235000,2.393235107421875,-4.893750190734863,52.931251525878906,0.7125000357627869
1694674022976227300,2.413227294921875,-4.481250286102295,52.14375305175781,1.1062500476837158
1694674022996231700,2.433231689453125,-4.481250286102295,52.57500076293945,0.9187500476837158
1694674023016235500,2.453235595703125,-4.387500286102295,52.66875076293945,0.8250000476837158
1694674023036234200,2.473234130859375,-5.4375,52.125003814697266,0.48750001192092896
1694674023056235500,2.493235595703125,-5.212500095367432,52.462501525878906,0.30000001192092896
1694674023076232000,2.51323193359375,-5.212500095367432,52.29375076293945,0.28125
1694674023096234200,2.533234130859375,-5.4375,52.462501525878906,0.1875
1694674023116232200,2.553232177734375,-6.468750476837158,52.29375076293945,0.48750001192092896
1694674023136222000,2.573221923828125,-6.375000476837158,52.29375076293945,0.16875000298023224
1694674023156232700,2.593232666015625,-7.087500095367432,52.556251525878906,0.26250001788139343
1694674023176237300,2.6132373046875,-6.881250381469727,52.01250076293945,-0.24375000596046448
1694674023196225500,2.6332255859375,-6.468750476837158,52.556251525878906,0.07500000298023224
1694674023216234500,2.653234375,-6.468750476837158,51.843753814697266,0.26250001788139343
1694674023236226300,2.673226318359375,-7.087500095367432,52.38750076293945,0.26250001788139343
1694674023256227300,2.693227294921875,-6.993750095367432,51.76875305175781,0.45000001788139343
1694674023276224300,2.713224365234375,-7.500000476837158,51.95625305175781,0.956250011920929
1694674023296229000,2.73322900390625,-7.087500095367432,51.60000228881836,1.1437500715255737
1694674023316232400,2.753232421875,-7.181250095367432,52.218753814697266,1.162500023841858
1694674023336227800,2.773227783203125,-7.181250095367432,52.06875228881836,1.6687500476837158
1694674023356231000,2.79323095703125,-7.912500381469727,51.86250305175781,1.443750023841858
