time,steps
1694674019719768000,0
1694674033229997000,9
1694674035191581400,11
1694674037155872300,15
1694674046879032300,24
1694674054737747200,36
1694674056651896600,42
1694674058616538400,46
1694674060581290200,48
1694674062546149000,54
1694674064460350700,58
1694674066429951200,62
1694674068389684200,66
1694674070354252800,70
1694674072268661500,74
1694674074235945700,78
1694674076198397200,82
1694674078162697000,86
1694674091814684200,98
1694674093779460000,100
1694674095693663500,104
1694674097659016700,106
1694674099627328800,112
1694674101587902000,116
1694674103502196200,120
1694674105466999300,124
1694674107435128000,128
1694674109396438500,132
1694674111310551800,136
1694674113275389400,140
1694674115246621200,144
1694674117204708000,148
1694674119119192600,151
1694674121085045800,154
1694674123048410400,160
1694674125013113300,164
1694674126978389800,168
1694674128892060000,172
1694674130857208800,178
1694674132821519000,179
1694674134735705000,183
1694674136700522000,187
1694674138665128700,191
1694674140634787300,196
1694674142544185600,200
1694674144508934400,205
1694674146473251800,208
1694674148438475500,212
1694674150402634800,215
1694674156246300000,225
1694674158211252200,229
1694674160125678600,234
1694674162090045700,238
1694674164054813400,242
1694674166019457500,245
1694674167933935600,248
1694674169898699000,251
1694674171863250200,255
1694674173831981300,258
1694674175742089700,262
1694674177707083000,265
1694674179671441000,269
1694674181585991400,272
1694674183550870300,277
1694674185515216600,281
1694674187480130800,285
1694674189394303700,289
1694674191359235600,293
1694674193323671300,297
1694674195288554800,301
1694674197253057500,305
1694674199167419600,309
1694674201132026600,313
1694674203096755500,317
1694674205011166500,321
1694674206975893000,325
1694674208940463400,329
1694674210854894800,333
1694674212819533300,339
1694674214785102800,341
1694674216748911400,347
1694674218713637600,351
1694674220631549000,355
1694674222592651500,359
1694674224557747700,363
1694674226522175200,367
1694674228437311000,371
1694674230401104100,375
1694674232365893400,379
1694674234330436600,383
1694674236247327200,387
1694674238209670000,391
1694674240174343700,395
1694674242139197200,399
1694674244103486700,405
1694674246018513700,407
1694674247984090600,412
1694674269493985000,424
1694674271408552000,428
1694674273373086500,432
1694674275338354700,436
1694674277302600200,442
1694674279217365000,446
1694674281181426400,450
1694674283146311000,452
1694674285111025000,458
1694674287027365000,462
1694674288989985000,465
1694674290954756900,468
1694674292919439600,473
1694674294836624400,477
1694674296798542800,481
1694674298763154000,485
1694674300727830300,489
1694674302692521500,493
1694674304607112400,497
1694674306571524000,503
1694674308536300000,504
1694674310500944100,508
1694674312415518500,512
1694674314380156000,518
1694674316344796000,522
1694674318309381400,526
1694674320226422800,530
1694674322188327400,534
1694674324153112800,538
1694674326067455000,542
1694674328033281300,546
1694674329997246500,550
1694674331961863400,554
1694674333926385000,559
1694674335840328000,562
1694674345613554700,572
1694674347578742300,574
1694674349543104000,578
1694674351457785300,582
1694674353423237600,586
1694674355386973700,590
1694674357351229400,594
1694674372968532500,603
1694674374933516500,604
