time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694680665630000000,0.303000244140625,0,0,1,13.298999786376953,0,0,68.5999984741211,3.0954803,50.6882449
1694680667166000000,1.839000244140625,0,0,1,14.574000358581543,0,0,68.5999984741211,3.0954919,50.6882443
1694680672390000000,7.063000244140625,0,0,1,15.538000106811523,0,0,68.5999984741211,3.095496,50.6882359
1694680677202000000,11.874999755859376,0,0,1,15.017000198364258,0,0,68.5999984741211,3.0954886,50.6882463
1694680682221000000,16.894,0,0,1,15.309000015258789,0,0,68.5999984741211,3.0954986,50.6882374
1694680687237000000,21.91,0,0,1,15.178000450134277,0,0,68.5999984741211,3.0954964,50.6882392
1694680693626000000,28.298999755859374,0,0,1,15.001999855041504,0,0,68.5999984741211,3.095502,50.6882337
1694680697375000000,32.048,0,0,1,15.107000350952148,0,0,68.5999984741211,3.0954916,50.6882429
1694680702392000000,37.065,0,0,1,14.680999755859375,0,0,68.5999984741211,3.0954873,50.6882472
1694680707308000000,41.981,0,0,1,14.935999870300293,0,0,68.5999984741211,3.0954912,50.6882459
1694680713799000000,48.472,0,0,1,14.82800006866455,0,0,68.5999984741211,3.0954869,50.688249
1694680717342000000,52.01500024414062,0,0,1,14.987000465393066,0,0,68.5999984741211,3.0954918,50.6882431
1694680722360000000,57.033,0,0,1,15.3149995803833,0,0,68.5999984741211,3.0954949,50.6882406
1694680727378000000,62.05099975585937,0,0,1,15.58899974822998,0,0,68.5999984741211,3.0954987,50.6882383
1694680732602000000,67.27499975585937,0,0,1,15.239999771118164,0,0,68.5999984741211,3.0954971,50.68824
1694680737413000000,72.086,0,0,1,15.307999610900879,0,0,68.5999984741211,3.0954962,50.6882397
1694680742534000000,77.20700024414063,0,0,1,15.175000190734863,0,0,68.5999984741211,3.0954983,50.6882391
1694680747550000000,82.22300024414062,0,0,1,15.062999725341797,0,0,68.5999984741211,3.0954964,50.6882401
1694680752567000000,87.24,0,0,1,14.77299976348877,0,0,68.5999984741211,3.0954915,50.6882446
1694680757585000000,92.258,0,0,1,14.989999771118164,0,0,68.5999984741211,3.0954943,50.6882419
1694680762705000000,97.378,0,0,1,15.112000465393066,0,0,68.5999984741211,3.095499,50.688239
1694680767629000000,102.302,0,0,1,15.215999603271484,0,0,68.5999984741211,3.0954957,50.6882393
1694680772638000000,107.31100024414063,0,0,1,14.942999839782715,0,0,68.5999984741211,3.0954992,50.6882358
1694680777656000000,112.329,0,0,1,14.553999900817871,0,0,68.5999984741211,3.0954905,50.6882425
1694680784045000000,118.718,0,0,1,14.333000183105469,0,0,68.5999984741211,3.0955057,50.6882215
1694680787693000000,122.366,0,0,1,15.246999740600586,0,0,68.5999984741211,3.0955026,50.6882335
1694680792709000000,127.382,0,0,1,15.008999824523926,0,0,68.5999984741211,3.095493,50.688241
1694680797726000000,132.39900024414064,0,0,1,14.859999656677246,0,0,68.5999984741211,3.095493,50.6882406
1694680802743000000,137.416,0,0,1,14.194000244140625,0,0,68.5999984741211,3.0954958,50.688238
1694680807761000000,142.434,0,0,1,14.564000129699707,0,0,68.5999984741211,3.0955003,50.6882347
1694680812779000000,147.452,0,0,1,14.970999717712402,0,0,68.5999984741211,3.0954984,50.6882369
1694680819271000000,153.944,0,0,1,14.25,0,0,68.5999984741211,3.0955002,50.688234
1694680824289000000,158.962,0,0,1,14.654999732971191,0,0,68.5999984741211,3.0955013,50.6882359
1694680827833000000,162.506,0,0,1,14.652999877929688,0,0,68.5999984741211,3.0954947,50.6882408
1694680834324000000,168.997,0,0,1,14.616000175476074,0,0,68.5999984741211,3.0954953,50.6882399
1694680837969000000,172.642,0,0,1,14.449000358581543,0,0,68.5999984741211,3.095501,50.6882346
1694680842986000000,177.65899975585938,0,0,1,14.86299991607666,0,0,68.5999984741211,3.0954984,50.6882361
1694680849376000000,184.049,0,0,1,14.506999969482422,0,0,68.5999984741211,3.095495,50.6882393
1694680853022000000,187.69500024414063,0,0,1,14.82699966430664,0,0,68.5999984741211,3.0955039,50.6882309
1694680858039000000,192.712,0,0,1,14.614999771118164,0,0,68.5999984741211,3.0955004,50.6882342
1694680863062000000,197.73500024414062,0,0,1,14.291999816894531,0,0,68.5999984741211,3.0954896,50.688242
1694680868074000000,202.74699975585938,0,0,1,14.399999618530273,0,0,68.5999984741211,3.0954892,50.6882426
1694680874465000000,209.138,0,0,1,14.781000137329102,0,0,68.5999984741211,3.0954931,50.68824
1694680878110000000,212.78300024414062,0,0,1,14.545999526977539,0,0,68.5999984741211,3.0954946,50.6882398
1694680883135000000,217.808,0,0,1,14.531000137329102,0,0,68.5999984741211,3.0955043,50.6882314
1694680888145000000,222.818,0,0,1,14.256999969482422,0,0,68.5999984741211,3.0954897,50.6882456
1694680894535000000,229.208,0,0,1,14.699000358581543,0,0,68.5999984741211,3.0954941,50.6882399
1694680899655000000,234.328,0,0,1,14.579000473022461,0,0,68.5999984741211,3.0954916,50.688244
1694680903198000000,237.87100024414062,0,0,1,15.128000259399414,0,0,68.5999984741211,3.0955019,50.6882329
1694680908217000000,242.89,0,0,1,14.699999809265137,0,0,68.5999984741211,3.0954933,50.6882408
1694680913234000000,247.90699975585937,0,0,1,14.776000022888184,0,0,68.5999984741211,3.0954933,50.6882399
