time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694888081358000000,0,0,1.4129151105880735,21.426000595092773,0,0,92.0,3.142203,50.6833453
1694888088829000000,0,0,1.2657426595687866,16.746000289916992,0,0,91.8000030517578,3.1424242,50.6834635
1694888096034000000,0,0,1.2754439115524292,17.599000930786133,0,0,91.8000030517578,3.1424153,50.683431
1694888099241000000,0,0,1.4494943618774414,16.434999465942383,0,0,91.5,3.1425382,50.6835646
1694888106163000000,0,0,1.347752571105957,13.302000045776367,0,0,91.4000015258789,3.142628,50.6835719
1694888111149000000,0,0,2.5352349281311035,18.340999603271484,0,0,91.4000015258789,3.1426669,50.6836092
1694888114325000000,0,0,1.046420931816101,12.6850004196167,0,0,91.0,3.1427447,50.6837406
1694888121315000000,0,0,1.4133514165878296,12.645000457763672,0,0,88.4000015258789,3.1427775,50.683742
1694888124360000000,0,0,1.5488004684448242,15.961999893188477,0,0,90.9000015258789,3.1428179,50.6838671
1694888129377000000,0,0,2.816530227661133,17.986000061035156,0,0,91.0,3.1428684,50.6839158
1694888135162000000,0,0,1.9969199895858765,19.50300025939941,0,0,90.8000030517578,3.1430001,50.6839928
1694888139413000000,0,0,1.2636067867279053,17.05299949645996,0,0,90.8000030517578,3.1430109,50.6839977
1694888144430000000,0,0,1.5769307613372805,15.428000450134276,0,0,90.5999984741211,3.1431047,50.6841212
1694888150316000000,0,0,1.002805471420288,15.128000259399414,0,0,90.5999984741211,3.1430954,50.6841113
1694888154619000000,0,0,1.5185703039169312,14.79800033569336,0,0,90.5,3.1431646,50.6841969
1694888159637000000,0,0,1.2032054662704468,17.01799964904785,0,0,90.5999984741211,3.1432697,50.6842455
1694888164608000000,0,0,1.0,15.506999969482422,0,0,90.5999984741211,3.1434096,50.6842335
1694888169784000000,0,0,2.5927178859710693,14.71500015258789,0,0,90.3000030517578,3.1433544,50.6843387
1694888175254000000,0,0,1.0495375394821167,14.309000015258787,0,0,90.3000030517578,3.1433666,50.684375
1694888183242000000,0,0,1.0,14.12399959564209,0,0,90.3000030517578,3.1434832,50.6845324
1694888188362000000,0,0,1.0898234844207764,13.812999725341797,0,0,90.0,3.1435453,50.6845758
1694888193277000000,0,0,1.2405798435211182,13.866000175476074,0,0,89.80000305175781,3.1436521,50.6846294
1694888199865000000,0,0,4.066681385040283,19.65999984741211,0,0,89.80000305175781,3.1437637,50.6847805
1694888205310000000,0,0,4.716279029846191,17.947999954223633,0,0,96.70000457763672,3.1438419,50.6846899
1694888209901000000,0,0,4.460467338562012,21.267000198364254,0,0,89.0,3.1439764,50.684851
1694888214918000000,0,0,1.3026223182678225,16.00200080871582,0,0,89.0,3.14396,50.6848505
1694888219936000000,0,0,2.1025686264038086,21.98699951171875,0,0,88.9000015258789,3.1439656,50.684847
1694888225483000000,0,0,1.868608832359314,17.865999221801758,0,0,88.9000015258789,3.1440003,50.6850195
1694888230706000000,0,0,2.447205781936645,20.08300018310547,0,0,88.5999984741211,3.1440701,50.6850676
1694888249633000000,0,0,1.1299057006835938,13.56999969482422,0,0,88.4000015258789,3.1441963,50.6851814
1694888254665000000,0,0,1.2808979749679563,22.049999237060547,0,0,88.0,3.1443064,50.6853621
1694888273527000000,0,0,3.399977207183838,27.79199981689453,0,0,87.80000305175781,3.1445653,50.6856135
1694888280610000000,0,0,2.2917981147766118,18.386999130249023,0,0,87.80000305175781,3.1445937,50.68561
1694888285680000000,0,0,1.785089373588562,16.139999389648438,0,0,87.0,3.1445385,50.6857584
1694888290827000000,0,0,1.5785928964614868,16.18600082397461,0,0,86.9000015258789,3.1445867,50.6858328
1694888295658000000,0,0,1.7491270303726196,17.207000732421875,0,0,87.0,3.1445664,50.685803
1694888299536000000,0,0,1.6462655067443848,19.76499938964844,0,0,86.9000015258789,3.1446176,50.6858633
1694888304304000000,0,0,1.5674411058425903,31.202999114990234,0,0,86.4000015258789,3.1449353,50.6859874
1694888309322000000,0,0,1.2308937311172483,21.44300079345703,0,0,86.80000305175781,3.1448913,50.6859893
1694888314237000000,0,0,2.0015904903411865,35.03200149536133,0,0,86.0,3.1449312,50.6861216
1694888319357000000,0,0,1.0849463939666748,17.38800048828125,0,0,86.70000457763672,3.1452122,50.6860242
1694888324374000000,0,0,1.1202136278152466,15.010000228881836,0,0,86.70000457763672,3.145318,50.6859957
1694888329604000000,0,0,1.0,16.301000595092773,0,0,86.70000457763672,3.1452927,50.6859998
1694888335137000000,0,0,1.0,15.746000289916992,0,0,86.80000305175781,3.1452795,50.6859435
1694888339640000000,0,0,1.0,12.977999687194824,0,0,86.5999984741211,3.1453204,50.685926
1694888346170000000,0,0,1.0,12.593999862670898,0,0,86.5999984741211,3.1454045,50.685846
1694888351286000000,0,0,1.0397014617919922,18.65699958801269,0,0,86.70000457763672,3.1454406,50.6858393
1694888356259000000,0,0,2.027329921722412,29.34499931335449,0,0,86.9000015258789,3.1456965,50.6858312
1694888361179000000,0,0,5.479273796081543,32.459999084472656,0,0,86.4000015258789,3.1457974,50.6860302
1694888366228000000,0,0,4.576592922210693,28.3129997253418,0,0,86.9000015258789,3.1458512,50.6856908
1694888371350000000,0,0,2.251319169998169,22.941999435424805,0,0,86.9000015258789,3.1458049,50.6857085
1694888376156000000,0,0,3.1348822116851807,33.51300048828125,0,0,87.20000457763672,3.1459087,50.6857552
1694888380702000000,0,0,1.1004104614257812,16.138999938964844,0,0,87.20000457763672,3.1459725,50.6856275
1694888385639000000,0,0,1.1043399572372437,26.709999084472656,0,0,87.4000015258789,3.1461715,50.6856693
1694888391283000000,0,0,2.0204923152923584,27.02199935913086,0,0,87.20000457763672,3.1460431,50.6855064
1694888395669000000,0,0,2.8799803256988525,33.26300048828125,0,0,87.70000457763672,3.1464387,50.6855581
1694888399828000000,0,0,1.159651517868042,22.871999740600582,0,0,87.5999984741211,3.1464133,50.6854487
1694888404846000000,0,0,1.1938540935516355,19.06999969482422,0,0,87.30000305175781,3.1464544,50.6854457
1694888410323000000,0,0,1.2351384162902832,17.924999237060547,0,0,87.20000457763672,3.1465094,50.6855165
1694888415719000000,0,0,1.9154704809188845,24.06800079345703,0,0,87.4000015258789,3.1467323,50.6855149
1694888419904000000,0,0,2.0622236728668213,27.371999740600582,0,0,87.4000015258789,3.1467679,50.6854919
1694888424604000000,0,0,7.8327131271362305,32.75,0,0,93.3000030517578,3.1469656,50.6856627
1694888429626000000,0,0,7.692378997802734,39.26900100708008,0,0,87.0999984741211,3.1469044,50.6857305
1694888434982000000,0,0,4.406940460205078,18.29199981689453,0,0,93.4000015258789,3.147087,50.68585
1694888440174000000,0,0,6.889310836791992,29.607999801635746,0,0,93.4000015258789,3.1471261,50.6858347
1694888444988000000,0,0,7.060407638549805,29.32099914550781,0,0,93.4000015258789,3.1470607,50.6858942
1694888450011000000,0,0,7.2172932624816895,40.555999755859375,0,0,85.80000305175781,3.1470022,50.6859556
1694888454718000000,0,0,6.3969244956970215,22.905000686645508,0,0,93.5999984741211,3.1469831,50.6858603
1694888460040000000,0,0,15.231283187866213,37.68600082397461,0,0,87.5999984741211,3.1468404,50.6859444
1694888464753000000,0,0,1.638176202774048,51.76300048828125,0,0,87.5,3.1475317,50.6852604
1694888469976000000,0,0,2.8483450412750244,63.61800003051758,0,0,87.5,3.1484288,50.6850604
1694888475211000000,0,0,4.476446628570557,31.32999992370605,0,0,87.5,3.1482807,50.6849855
1694888479807000000,0,0,4.573998928070068,46.79100036621094,0,0,87.5,3.1481964,50.6849276
1694888484824000000,0,0,4.270040035247803,26.400999069213867,0,0,88.0,3.148424,50.6848557
1694888489827000000,0,0,8.275212287902832,27.56999969482422,0,0,87.5,3.1483627,50.6849144
1694888494844000000,0,0,3.399453639984131,27.518999099731445,0,0,88.0,3.1483369,50.6848792
1694888500074000000,0,0,2.651530504226685,27.770999908447266,0,0,88.5,3.1483612,50.6847917
1694888505657000000,0,0,3.4908244609832764,25.35400009155273,0,0,88.4000015258789,3.1482451,50.6847049
1694888509906000000,0,0,3.2669484615325928,17.27400016784668,0,0,88.5999984741211,3.1482731,50.6847871
1694888514930000000,0,0,3.892535448074341,20.513999938964844,0,0,88.5,3.1482466,50.6847101
1694888519948000000,0,0,2.3914504051208496,17.358999252319336,0,0,88.4000015258789,3.1482574,50.6846056
1694888524966000000,0,0,2.79758882522583,16.959999084472656,0,0,88.4000015258789,3.1482505,50.6845889
1694888530486000000,0,0,2.358100414276123,15.79800033569336,0,0,88.4000015258789,3.1482512,50.684577
1694888535001000000,0,0,3.384636163711548,16.68000030517578,0,0,88.4000015258789,3.1482545,50.6845533
1694888541977000000,0,0,2.616080045700073,20.822999954223636,0,0,88.4000015258789,3.1482533,50.6845399
1694888545155000000,0,0,3.7121851444244394,30.90800094604492,0,0,88.4000015258789,3.1483147,50.6845168
1694888550173000000,0,0,3.328200101852417,38.821998596191406,0,0,88.9000015258789,3.1484873,50.6843604
1694888555088000000,0,0,2.436258554458618,35.20800018310547,0,0,88.9000015258789,3.148445,50.6843583
1694888562125000000,0,0,2.370159149169922,24.03499984741211,0,0,88.9000015258789,3.1487112,50.6842411
1694888565965000000,0,0,1.1243919134140017,14.041999816894531,0,0,88.9000015258789,3.1486506,50.6842803
