time,z,y,x
1694728320132100400,-27.993751525878903,-13.631250381469728,34.21875
1694728320152104700,-29.36250114440918,-13.912500381469728,33.78750228881836
1694728320172116000,-29.568750381469727,-14.250000953674316,34.462501525878906
1694728320192140800,-29.868751525878903,-14.86875057220459,35.15625
1694728320212173600,-28.912500381469727,-15.281250953674316,35.45625305175781
1694728320232208100,-28.837501525878903,-16.443750381469727,35.13750076293945
1694728320252239000,-28.818750381469727,-16.856250762939453,36.525001525878906
1694728320272268000,-29.025001525878903,-17.381250381469727,36.806251525878906
1694728320292283100,-27.86250114440918,-18.075000762939453,37.61250305175781
1694728320312282000,-28.162500381469727,-18.412500381469727,38.118751525878906
1694728320332290800,-28.593751907348636,-18.48750114440918,38.400001525878906
1694728320352291000,-29.118751525878903,-18.76875114440918,38.493751525878906
1694728320372285200,-30.037500381469727,-19.368751525878903,39.056251525878906
1694728320392267000,-29.306251525878903,-18.9375,38.98125076293945
1694728320412247600,-30.337501525878903,-19.275001525878903,39.67500305175781
1694728320432239600,-30.543750762939453,-18.5625,39.28125
1694728320452241700,-32.51250076293945,-18.5625,39.76875305175781
1694728320472246300,-31.762500762939453,-17.043750762939453,40.51875305175781
1694728320492246300,-31.968751907348636,-16.575000762939453,41.64375305175781
1694728320512242000,-32.88750076293945,-16.293750762939453,42.03750228881836
1694728320532246000,-32.45625305175781,-15.656250953674316,42.35625076293945
1694728320552245200,-32.98125076293945,-16.181251525878906,42.54375076293945
1694728320572252000,-33.09375,-16.481250762939453,41.51250076293945
1694728320592253200,-33.84375,-17.8125,41.36250305175781
1694728320612249900,-33.01875305175781,-18.356250762939453,40.96875
1694728320632246500,-32.8125,-20.137500762939453,40.61250305175781
1694728320652249900,-32.92500305175781,-21.11250114440918,40.59375
1694728320672257800,-30.86250114440918,-22.89375114440918,40.57500076293945
1694728320692259800,-30.86250114440918,-24.39375114440918,40.51875305175781
1694728320712263400,-29.231250762939453,-25.125001907348636,39.525001525878906
1694728320732258800,-28.818750381469727,-26.906251907348636,39.375
1694728320752251000,-28.42500114440918,-27.281251907348636,37.95000076293945
1694728320772253000,-28.33125114440918,-28.368751525878903,37.3125
1694728320792250000,-27.20625114440918,-29.08125114440918,36.91875076293945
1694728320812239600,-25.781251907348636,-29.83125114440918,34.98750305175781
1694728320832232000,-25.51875114440918,-30.431251525878903,32.15625
1694728320852240600,-26.17500114440918,-31.631250381469727,30.693750381469727
1694728320872244000,-26.718751907348636,-32.66250228881836,28.743751525878903
1694728320892254000,-27.918750762939453,-32.04375076293945,25.012500762939453
1694728320912246300,-29.006250381469727,-32.92500305175781,22.23750114440918
1694728320932247300,-30.093751907348636,-32.73750305175781,18.900001525878903
1694728320952255200,-30.168750762939453,-33.11250305175781,14.456250190734863
1694728320972250600,-31.031251907348636,-34.181251525878906,10.875
1694728320992263200,-30.11250114440918,-34.181251525878906,4.03125
1694728321012266500,-29.156251907348636,-35.19375228881836,-1.4250000715255735
1694728321032257300,-27.918750762939453,-34.6875,-9.46875
1694728321052257500,-25.89375114440918,-33.35625076293945,-13.74375057220459
1694728321072252700,-26.287500381469727,-30.337501525878903,-20.118751525878903
1694728321092244700,-25.98750114440918,-28.162500381469727,-22.162500381469727
1694728321112236500,-26.437501907348636,-25.293750762939453,-24.825000762939453
1694728321132236000,-25.743751525878903,-21.131250381469727,-29.025001525878903
1694728321152239600,-24.525001525878903,-18.637500762939453,-31.875001907348636
1694728321172238600,-23.73750114440918,-14.362500190734863,-35.36250305175781
1694728321192245200,-21.975000381469727,-11.756250381469728,-37.181251525878906
1694728321212246500,-21.5625,-7.800000190734863,-38.88750076293945
1694728321232247000,-20.850000381469727,-5.34375,-40.3125
1694728321252251000,-19.70625114440918,-4.537500381469727,-40.087501525878906
1694728321272261000,-19.912500381469727,-2.775000095367432,-40.837501525878906
1694728321292264700,-18.76875114440918,-2.34375,-41.00625228881836
1694728321312255200,-20.212501525878903,-0.8437500596046448,-41.38125228881836
1694728321332258300,-20.4375,0.4687500298023224,-41.962501525878906
1694728321352260900,-21.131250381469727,1.0875000953674316,-41.34375
1694728321372258600,-21.243751525878903,0.65625,-40.76250076293945
1694728321392245200,-21.01875114440918,0.9375000596046448,-40.33125305175781
1694728321412230400,-21.84375,2.1750001907348637,-40.125
1694728321432227300,-23.287500381469727,3.075000047683716,-39.712501525878906
1694728321452233200,-24.318750381469727,3.0,-39.11250305175781
1694728321472237000,-24.525001525878903,2.8312501907348637,-38.118751525878906
1694728321492240100,-25.031251907348636,3.825000047683716,-38.00625228881836
1694728321512238300,-24.918750762939453,4.706250190734863,-38.17500305175781
1694728321532244200,-24.30000114440918,4.987500190734863,-37.96875
1694728321552244700,-22.856250762939453,6.975000381469727,-40.20000076293945
1694728321572252400,-21.412500381469727,8.981250762939453,-41.4375
1694728321592254200,-17.36250114440918,10.83750057220459,-42.63750076293945
1694728321612251000,-13.950000762939451,12.600000381469728,-43.650001525878906
