time,steps
1694728318601471500,0
1694728320479666000,1
1694728322444546300,4
1694728324408841000,9
1694728326374267100,12
1694728328287980500,16
1694728330252966400,19
1694728332217439700,22
1694728334181939700,26
1694728336096514300,29
1694728338061143300,33
1694728340029827600,36
1694728341991918800,40
1694728343955694600,43
1694728345869846000,47
1694728347836682800,51
1694728349799134000,54
1694728351764289800,57
1694728353728811800,61
1694728355642872800,65
1694728357607778600,68
1694728359572242200,72
1694728361537000200,75
1694728363451176000,79
1694728365415993300,82
1694728367380728600,86
1694728369345183700,90
1694728371259688400,93
1694728373226525700,97
1694728375189959700,100
1694728377154244600,103
1694728379067868000,107
1694728381036749300,110
1694728382997443300,114
1694728384962082000,118
1694728386876440600,121
1694728388840820700,125
1694728390805734400,128
1694728392770339800,132
1694728394684415000,136
1694728396649298400,139
1694728398614252000,143
1694728400528268300,147
1694728402492972800,150
1694728404457615400,154
1694728406422353700,157
1694728408336555800,161
1694728410301206500,165
1694728412266009900,168
1694728414234604500,172
1694728416195305700,175
1694728418109698000,179
1694728420074788400,183
1694728422038800000,187
1694728423953691100,190
1694728425918026800,194
1694728427882726400,198
1694728429847618600,201
1694728431761464800,205
1694728433726421500,208
1694728435692146000,212
1694728437655956500,215
1694728439569827800,219
1694728441534805000,222
1694728443499342600,226
1694728445464098300,230
1694728447431497500,233
1694728449343037700,236
1694728451314795800,239
1694728453272382000,243
1694728455237976600,246
1694728457201638700,249
1694728459116176000,252
1694728461080728800,256
1694728463045716200,259
1694728464959838000,263
1694728466924377900,266
1694728468890195000,269
1694728470854459000,272
1694728472768123400,276
1694728474733417000,279
1694728476697587200,283
1694728478662290700,287
1694728480629408300,290
1694728482541237200,293
1694728484506222000,296
1694728486470815000,300
1694728488437944800,304
1694728490349731000,308
1694728492317788200,311
1694728494279246300,315
1694728496244145400,319
1694728498158134300,323
1694728500122961200,326
1694728502087824600,330
1694728504052286000,334
1694728506017074700,337
1694728507931255800,341
1694728509896321300,344
1694728511860667000,348
1694728513775031600,351
1694728515739740400,354
1694728517704303600,358
1694728519669177300,361
1694728521635358500,365
1694728523548328700,368
1694728525513252400,372
1694728527477695200,375
1694728529442323200,379
1694728531407165000,382
1694728533321547800,385
1694728535286094000,389
1694728537250657300,392
1694728539215668200,395
1694728541129916200,399
1694728543095300600,402
1694728545059333000,406
1694728547028482600,409
1694728548938349300,412
1694728550903192000,415
1694728552867631600,419
1694728554834331000,422
1694728556797202200,425
1694728558711440600,428
1694728560676086500,431
1694728562640976000,434
1694728564605787600,437
1694728566520016000,441
1694728568484728300,444
1694728570449482800,447
1694728572414106400,450
1694728574379026400,453
1694728576293613600,457
1694728578258056000,460
1694728580223828200,464
1694728582187318500,467
1694728584101647000,470
1694728586066553000,473
1694728588036357600,477
1694728589995971600,480
1694728591910401000,483
1694728593875083500,487
1694728595839715800,490
1694728597804296400,493
1694728599769099800,496
1694728601683509200,499
1694728603648267300,503
1694728605613064000,506
1694728607577697500,510
1694728609492159200,513
