time,steps
1697610943000074200,0
1697610994992950000,10
1697610996958891300,14
1697610998922289200,17
1697611000836926200,20
1697611002801774300,25
1697611004766701300,29
1697611006731564500,30
1697611008700844800,33
1697611010661344500,36
1697611012625967900,40
1697611014591290000,44
1697611016556022800,48
1697611018520948700,52
1697611020435385000,56
1697611022400198700,60
1697611024366783700,62
1697611026330633500,66
1697611028296199200,70
1697611030260610800,74
1697611032224556000,78
1697611034189953500,82
1697611036154242600,88
1697611038068635000,92
1697611040033490700,94
1697611041998365000,98
1697611053736647700,109
1697611055705054000,113
1697611057615756800,117
1697611059580609000,121
1697611061545514000,127
1697611063510756600,133
1697611065475125800,136
1697611067439541200,140
1697611069353803300,141
1697611071318861000,144
1697611073283479300,148
1697611075197933000,150
1697611077162821400,154
1697611079127492900,160
1697611081092211700,164
1697611083056968400,166
1697611085021655300,171
1697611086936148200,174
1697611088902991000,177
1697611090865464600,181
1697611092830776600,185
1697611094744894700,189
1697611096710212000,193
1697611098674232600,197
1697611100638981000,201
1697611102603720400,205
1697611104517995800,209
1697611106482761700,215
1697611108447503400,218
1697611110412421400,223
1697611112326696700,227
1697611114291426300,231
1697611116256183800,233
1697611118220763400,239
1697611120135117800,243
1697611122101972000,247
1697611124064588500,251
1697611126029539600,255
1697611127943595300,259
1697611129910191600,263
1697611131873076200,267
1697611133837693200,271
1697611135802613500,275
1697611137716835000,281
1697611139681535500,285
1697611141646016800,289
1697611147490128000,298
1697611149454502400,300
1697611151419339500,304
1697611153333655600,308
1697611155299901200,312
1697611157262928100,313
1697611159227714600,316
1697611161142217500,320
1697611163110044400,326
1697611172880496000,339
1697611174844887600,345
1697611176810355000,347
1697611178774597600,350
1697611180689137700,354
1697611182653688000,356
1697611184618402300,360
1697611186582892300,366
1697611217816876800,377
1697611219781389600,383
1697611221746301200,385
1697611223660750600,391
1697611225625295000,397
1697611227590512000,401
1697611229554619400,405
1697611231469336300,409
1697611233433686300,413
1697611235398416000,417
1697611237364759800,421
1697611239277384700,425
1697611241242026000,429
1697611243206887200,433
1697611245171746300,439
1697611247085894100,443
1697611249050715400,447
1697611251015403300,449
1697611252979947800,455
1697611254944605000,459
1697611256858708200,463
1697611258823593200,467
1697611260788394000,471
1697611262753027800,474
1697611264667385000,478
1697611266631886600,482
1697611268596665300,485
1697611270561275600,489
1697611322345942800,500
1697611324311145000,502
1697611326275364400,506
1697611328189963500,510
1697611330154284000,514
1697611332118971100,518
1697611334083971800,522
1697611335997882000,528
1697611337962769200,532
1697611339927486000,536
1697611341892325000,540
1697611343806515000,544
1697611345771739000,550
1697611347735815200,554
1697611349704371500,558
1697611351614969000,562
1697611353579538700,568
1697611355544179700,572
1697611357510235600,576
1697611359423259400,580
1697611361387862300,584
1697611363352537900,588
1697611365317139500,594
1697611367231713000,598
1697611369196037400,602
1697611371160893700,606
1697611373125332700,610
1697611375039927300,613
1697611408237647000,624
1697611410202192000,626
1697611412166975000,628
1697611414131672000,632
1697611416046125600,636
1697611418010928400,639
1697611419975346400,642
1697611421890239200,644
1697611423854417400,648
1697611425819039700,652
1697611427783879200,656
1697611429700938200,660
1697611431662650400,664
1697611433627162400,668
1697611435592239400,670
1697611437508937000,674
1697611439470863600,676
1697611441435763500,678
1697611443400354300,682
1697611445314699500,686
1697611447279253500,690
1697611462896913400,702
1697611464860535600,706
1697611466774906000,708
1697611468739436300,712
1697611470705726200,716
1697611472669291500,720
1697611474582966300,726
1697611476547701000,728
1697611478512792600,731
1697611480477002800,736
1697611488285502500,745
