time,z,y,x
1697610977728536600,-49.20000076293945,-8.11875057220459,-3.656250238418579
1697610977748541700,-50.43750381469727,-8.02500057220459,-3.562500238418579
1697610977768552700,-50.25000381469727,-7.425000190734863,-4.443750381469727
1697610977788574200,-50.868751525878906,-7.162500381469727,-4.256250381469727
1697610977808601600,-50.13750076293945,-7.068750381469727,-4.443750381469727
1697610977828635100,-50.43750381469727,-6.956250190734863,-3.731250047683716
1697610977848663800,-50.13750076293945,-7.312500476837158,-3.843750238418579
1697610977868676000,-50.43750381469727,-7.837500095367432,-3.168750047683716
1697610977888696300,-50.43750381469727,-8.193750381469727,-3.375000238418579
1697610977908687000,-50.34375381469727,-8.550000190734863,-3.281250238418579
1697610977928691500,-50.13750076293945,-8.90625,-3.375000238418579
1697610977948700000,-50.13750076293945,-8.90625,-3.5812501907348637
1697610977968701000,-50.45625305175781,-8.475000381469727,-3.4875001907348637
1697610977988707600,-50.26875305175781,-9.206250190734863,-4.5
1697610978008696000,-49.95000076293945,-9.375,-4.706250190734863
1697610978028704500,-49.95000076293945,-9.112500190734863,-4.893750190734863
1697610978048700000,-50.06250381469727,-8.86875057220459,-5.700000286102295
1697610978068686800,-49.85625076293945,-8.77500057220459,-5.081250190734863
1697610978088695300,-49.96875381469727,-8.700000762939453,-5.700000286102295
1697610978108690200,-49.85625076293945,-8.68125057220459,-5.193750381469727
1697610978128682000,-49.95000076293945,-8.418750762939453,-5.175000190734863
1697610978148682800,-49.85625076293945,-7.800000190734863,-5.475000381469727
1697610978168668200,-50.56875228881836,-8.0625,-5.081250190734863
1697610978188664000,-50.85000228881836,-7.312500476837158,-3.150000095367432
1697610978208664800,-50.23125076293945,-7.143750190734863,-3.637500047683716
1697610978228673500,-50.025001525878906,-7.387500286102295,-3.0375001430511475
1697610978248676400,-50.025001525878906,-7.650000095367432,-3.0375001430511475
1697610978268674600,-50.53125381469727,-8.175000190734863,-2.868750095367432
1697610978288680400,-50.32500076293945,-8.71875,-2.887500047683716
1697610978308673500,-49.837501525878906,-9.52500057220459,-3.3937501907348637
1697610978328682800,-49.931251525878906,-9.90000057220459,-4.21875
1697610978348685600,-49.42500305175781,-9.99375057220459,-4.612500190734863
1697610978368676000,-49.21875381469727,-9.99375057220459,-4.612500190734863
1697610978388667600,-50.04375076293945,-9.99375057220459,-4.012500286102295
1697610978408673500,-49.63125228881836,-9.825000762939451,-4.518750190734863
1697610978428685300,-49.85625076293945,-9.9375,-5.325000286102295
1697610978448690400,-49.33125305175781,-10.125,-5.831250190734863
1697610978468682200,-50.06250381469727,-9.9375,-5.737500190734863
1697610978488683000,-49.33125305175781,-9.506250381469728,-6.018750190734863
1697610978508679200,-49.14375305175781,-9.24375057220459,-6.318750381469727
1697610978528672000,-49.66875076293945,-8.625,-6.600000381469727
1697610978548681200,-49.78125381469727,-8.475000381469727,-7.612500190734863
1697610978568673500,-49.57500076293945,-8.381250381469727,-7.893750190734863
1697610978588685800,-49.462501525878906,-8.58750057220459,-8.11875057220459
1697610978608691500,-50.41875076293945,-8.137500762939453,-8.006250381469727
1697610978628691500,-50.00625228881836,-7.706250190734863,-8.49375057220459
1697610978648698000,-49.06875228881836,-7.162500381469727,-8.475000381469727
1697610978668688100,-49.68750381469727,-6.562500476837158,-9.168750762939451
1697610978688687000,-49.48125076293945,-6.393750190734863,-9.768750190734863
1697610978708686000,-49.38750076293945,-6.131250381469727,-9.84375
1697610978728695600,-49.89375305175781,-5.868750095367432,-9.956250190734863
1697610978748703200,-49.70625305175781,-5.700000286102295,-10.256250381469728
1697610978768693800,-49.48125076293945,-4.987500190734863,-9.918750762939451
1697610978788686300,-49.70625305175781,-5.175000190734863,-10.125
1697610978808675600,-49.181251525878906,-5.34375,-10.237500190734863
1697610978828684000,-49.275001525878906,-5.512500286102295,-10.237500190734863
1697610978848678700,-49.181251525878906,-5.4375,-10.537500381469728
1697610978868676900,-49.70625305175781,-5.793750286102295,-10.443750381469728
1697610978888683300,-49.29375076293945,-5.90625,-11.0625
1697610978908676600,-48.56250381469727,-5.887500286102295,-10.537500381469728
1697610978928686300,-48.97500228881836,-6.843750476837158,-10.27500057220459
1697610978948690000,-48.76875305175781,-7.200000286102295,-10.08750057220459
1697610978968688600,-48.65625381469727,-7.106250286102295,-9.975000381469728
1697610978988694800,-48.97500228881836,-7.387500286102295,-10.08750057220459
1697610979008695000,-48.88125228881836,-7.837500095367432,-10.200000762939451
1697610979028702200,-49.63125228881836,-8.043750762939453,-11.831250190734863
1697610979048696000,-48.60000228881836,-7.968750476837158,-12.112500190734863
1697610979068694500,-47.775001525878906,-8.081250190734863,-13.218750953674316
1697610979088700400,-48.03750228881836,-7.350000381469727,-16.23750114440918
1697610979108693200,-47.94375228881836,-7.031250476837158,-17.53125
1697610979128683300,-45.69375228881836,-6.487500190734863,-20.512500762939453
1697610979148683000,-46.14375305175781,-6.093750476837158,-22.931251525878903
1697610979168670700,-43.875,-4.368750095367432,-24.86250114440918
1697610979188667000,-43.16250228881836,-2.887500047683716,-26.73750114440918
1697610979208666600,-42.88125228881836,-1.537500023841858,-28.80000114440918
1697610979228674600,-40.72500228881836,0.09375,-31.350000381469727
1697610979248676900,-38.04375076293945,0.7875000238418579,-32.8125
1697610979268686000,-35.88750076293945,3.918750047683716,-35.71875
1697610979288689200,-33.82500076293945,6.468750476837158,-37.01250076293945
1697610979308679400,-31.218751907348636,10.78125,-38.47500228881836
1697610979328686600,-31.125001907348636,13.950000762939451,-39.39375305175781
1697610979348688100,-29.025001525878903,15.843750953674316,-38.8125
1697610979368678400,-24.76875114440918,18.056251525878903,-39.58125305175781
1697610979388680200,-24.731250762939453,21.075000762939453,-39.712501525878906
1697610979408682500,-25.05000114440918,23.025001525878903,-39.86250305175781
1697610979428691500,-24.693750381469727,24.562501907348636,-38.08125305175781
1697610979448687400,-24.58125114440918,25.218751907348636,-36.86250305175781
1697610979468682800,-23.64375114440918,25.406251907348636,-37.05000305175781
1697610979488684500,-24.881250381469727,27.262500762939453,-36.806251525878906
1697610979508682500,-23.006250381469727,26.92500114440918,-36.48750305175781
1697610979528680400,-23.606250762939453,28.368751525878903,-35.75625228881836
1697610979548687400,-19.96875,29.100000381469727,-35.17500305175781
1697610979568677600,-17.34375,30.543750762939453,-34.48125076293945
1697610979588677000,-16.162500381469727,32.88750076293945,-33.1875
1697610979608673000,-15.33750057220459,33.16875076293945,-32.962501525878906
1697610979628677000,-14.68125057220459,33.375,-31.650001525878903
1697610979648687600,-15.131250381469728,32.98125076293945,-33.07500076293945
1697610979668680400,-15.33750057220459,32.26875305175781,-33.20625305175781
1697610979688683300,-15.450000762939451,31.462501525878903,-33.22500228881836
1697610979708688100,-15.656250953674316,31.556251525878903,-33.22500228881836
1697610979728691200,-15.356250762939451,30.825000762939453,-34.05000305175781
1697610979748700700,-14.943750381469728,29.868751525878903,-34.06875228881836
1697610979768692200,-14.550000190734863,28.687501907348636,-35.00625228881836
1697610979788685000,-14.231250762939451,28.781251907348636,-34.087501525878906
1697610979808675800,-14.137500762939451,27.993751525878903,-34.3125
1697610979828675300,-14.343750953674316,28.162500381469727,-34.3125
1697610979848671000,-14.043750762939451,28.068750381469727,-34.91250228881836
1697610979868671700,-14.887500762939451,27.787500381469727,-35.34375
1697610979888679700,-14.043750762939451,28.14375114440918,-35.212501525878906
1697610979908675600,-15.075000762939451,27.693750381469727,-35.04375076293945
1697610979928686000,-14.68125057220459,27.843751907348636,-36.243751525878906
1697610979948690400,-14.362500190734863,27.225000381469727,-36.16875076293945
1697610979968689200,-15.206250190734863,26.868751525878903,-36.48750305175781
1697610979988695300,-15.412500381469728,26.606250762939453,-36.28125
1697610980008695600,-15.731250762939451,26.062501907348636,-36.20625305175781
1697610980028695000,-16.368751525878906,25.70625114440918,-36.337501525878906
1697610980048694000,-16.162500381469727,25.087501525878903,-36.75
1697610980068693200,-16.368751525878906,25.181251525878903,-36.54375076293945
1697610980088700000,-16.14375114440918,24.656251907348636,-36.35625076293945
1697610980108696000,-16.575000762939453,24.11250114440918,-36.375
1697610980128686600,-15.112500190734863,24.037500381469727,-36.056251525878906
1697610980148686000,-15.731250762939451,24.918750762939453,-36.243751525878906
1697610980168670500,-14.887500762939451,24.318750381469727,-35.34375
1697610980188668700,-13.218750953674316,25.931251525878903,-35.47500228881836
1697610980208668000,-12.80625057220459,26.568750381469727,-35.13750076293945
1697610980228675300,-12.468750953674316,27.731250762939453,-34.29375076293945
1697610980248688600,-12.675000190734863,28.968751907348636,-34.462501525878906
1697610980268694800,-11.925000190734863,29.343751907348636,-33.54375076293945
1697610980288695300,-11.71875,29.531251907348636,-33.431251525878906
1697610980308684500,-11.71875,30.168750762939453,-33.01875305175781
1697610980328690000,-10.668750762939451,31.593751907348636,-32.45625305175781
1697610980348690000,-11.475000381469728,32.13750076293945,-31.931251525878903
1697610980368679000,-11.15625,33.48750305175781,-31.481250762939453
1697610980388677000,-11.34375,33.76875305175781,-30.67500114440918
1697610980408671500,-11.137500762939451,34.125,-30.67500114440918
1697610980428663800,-11.231250762939451,34.40625,-30.468751907348636
1697610980448665600,-10.818750381469728,34.931251525878906,-30.431251525878903
1697610980468664300,-11.02500057220459,35.38125228881836,-30.337501525878903
1697610980488686800,-10.387500762939451,35.212501525878906,-29.718751907348636
1697610980508683500,-10.518750190734863,34.743751525878906,-31.031251907348636
1697610980528695000,-10.106250762939451,34.01250076293945,-31.556251525878903
