time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1694682676253000000,0.407,0,0,1,13.935999870300293,0,0,68.5999984741211,3.0954796,50.6882415
1694682678992000000,3.146,0,0,1,13.649999618530273,0.033250097185373306,0,68.5999984741211,3.0954815,50.6882429
1694682684245000000,8.399,0,0,1,15.22700023651123,0.2892581820487976,124.3152847290039,68.5999984741211,3.0955009,50.6882343
1694682689034000000,13.187999755859375,0,0,1,15.354000091552734,0.12841150164604187,143.9174041748047,68.5999984741211,3.095505,50.6882301
1694682694276000000,18.43,0,0,1,14.758999824523926,0.19260933995246887,337.2043151855469,68.5999984741211,3.0954984,50.6882397
1694682699073000000,23.227,0,0,1,14.758999824523926,0.03059305250644684,0,68.5999984741211,3.0954977,50.6882402
1694682704311000000,28.465,0,0,1,14.538999557495117,0.015441684052348137,0,68.5999984741211,3.0954984,50.6882395
1694682709129000000,33.283,0,0,1,14.833000183105469,0.21109409630298615,141.35812377929688,68.5999984741211,3.0955082,50.6882317
1694682714346000000,38.49999975585938,0,0,1,14.871000289916992,0.11796023696660995,213.58583068847656,68.5999984741211,3.0955021,50.6882274
1694682719164000000,43.318,0,0,1,15.01200008392334,0.09306736290454865,0,68.5999984741211,3.095505,50.6882237
1694682724382000000,48.536000244140624,0,0,1,14.595999717712402,0.12428098171949387,1.3347288370132446,68.5999984741211,3.095505,50.6882304
1694682728315000000,52.469,179.89999389648438,2.0999999046325684,1.039330005645752,10.697999954223633,1.7068171501159668,306.1834411621094,68.5999984741211,3.0954191,50.6882697
1694682729261000000,53.415,179.89999389648438,2.0999999046325684,1,9.39799976348877,0.741874098777771,305.9739074707031,68.5999984741211,3.0954158,50.6882711
1694682729315000000,53.469,179.89999389648438,2,1.000540018081665,8.74899959564209,1.2846537828445435,283.66998291015625,68.5999984741211,3.0954037,50.6882698
1694682730315000000,54.469,179.89999389648438,2,1.0105400085449219,6.800000190734863,1.79255211353302,259.7701416015625,68.5999984741211,3.0953743,50.6882637
1694682731315000000,55.469,179,1.899999976158142,1.0205399990081787,6.78000020980835,1.5203359127044678,256.3192443847656,68.5999984741211,3.0953567,50.6882601
1694682732315000000,56.469,165.60000610351562,1.899999976158142,1.0305399894714355,6.765999794006348,1.197379469871521,252.01644897460938,68.5999984741211,3.0953447,50.6882567
1694682733315000000,57.469,131.6999969482422,1.7999999523162842,1.0405399799346924,6.742000102996826,1.1346876621246338,246.43194580078125,68.5999984741211,3.0953311,50.688252
1694682734315000000,58.469,104.19999694824219,1.7999999523162842,1.0505399703979492,6.699999809265137,1.1983815431594849,230.6278076171875,68.5999984741211,3.0953193,50.6882428
1694682735315000000,59.469,105.80000305175781,1.7999999523162842,1.060539960861206,6.650000095367432,0.8060129284858704,233.71414184570312,68.5999984741211,3.0953134,50.6882407
1694682736315000000,60.469,86.9000015258789,1.7000000476837158,1.0179500579833984,6.583000183105469,0.863386869430542,255.74290466308594,68.5999984741211,3.0952993,50.6882408
1694682737315000000,61.469,89.5999984741211,1.7000000476837158,1.0279500484466553,6.515999794006348,0.5638202428817749,253.96139526367188,68.5999984741211,3.0952951,50.6882398
1694682738315000000,62.469,98.5999984741211,1.7000000476837158,1.037950038909912,6.433000087738037,5.32122802734375,291.5036926269531,68.5999984741211,3.095173,50.688273
1694682739315000000,63.469,84.9000015258789,1.600000023841858,1.047950029373169,6.366000175476074,3.709070920944214,292.3933410644531,68.5999984741211,3.095142,50.6882818
1694682739389000000,63.543,84.9000015258789,1.600000023841858,1,6.300000190734863,3.4352500438690186,292.5536804199219,68.5999984741211,3.0951441,50.6882814
1694682740315000000,64.469,70.69999694824219,2.5999999046325684,1.0092600584030151,6.270999908447266,1.6811553239822388,292.8288269042969,68.5999984741211,3.0951403,50.6882825
1694682741315000000,65.469,87.5999984741211,3.200000047683716,1.019260048866272,6.214000225067139,0.5754724740982056,293.14495849609375,68.5999984741211,3.0951447,50.6882814
1694682742315000000,66.469,96.69999694824219,3.299999952316284,1.0292600393295288,6.1570000648498535,0.12545211613178253,293.8578186035156,68.5999984741211,3.0951479,50.6882806
1694682743315000000,67.469,0,3.4000000953674316,1.0392600297927856,6.113999843597412,0.006484611891210079,0,68.5999984741211,3.0951494,50.6882802
1694682744315000000,68.469,0,3.5,1.0492600202560425,6.085000038146973,0.02502875216305256,0,68.5999984741211,3.0951499,50.68828
1694682745315000000,69.469,0,3.5,1.0592600107192993,6.015999794006348,0.016424845904111862,0,68.5999984741211,3.09515,50.68828
1694682746315000000,70.469,0,3.5,1.0176000595092773,5.982999801635742,0.007392438594251871,0,68.5999984741211,3.09515,50.68828
1694682747315000000,71.469,0,3.5999999046325684,1.0276000499725342,5.949999809265137,0.002496786881238222,0,68.5999984741211,3.09515,50.68828
1694682748315000000,72.469,0,3.5999999046325684,1.037600040435791,5.933000087738037,0.0005486095324158669,0,68.5999984741211,3.09515,50.68828
1694682749315000000,73.469,0,3.799999952316284,1.0476000308990479,5.933000087738037,0.00001662255817791447,0,68.5999984741211,3.09515,50.68828
1694682749420000000,73.574,0,3.799999952316284,1,5.933000087738037,0.00008475916547467932,0,68.5999984741211,3.09515,50.68828
1694682750315000000,74.469,0,3.700000047683716,1.0089499950408936,5.941999912261963,0.00009470817167311907,0,68.5999984741211,3.09515,50.68828
1694682751315000000,75.469,0,3.700000047683716,1.0189499855041504,5.956999778747559,0.00005324499579728581,0,68.5999984741211,3.09515,50.68828
1694682752315000000,76.469,0,3.5999999046325684,1.0289499759674072,5.9710001945495605,0.000021953437681077048,0,68.5999984741211,3.09515,50.68828
1694682753314000000,77.46799975585938,0,3.5999999046325684,1.0389399528503418,5.985000133514404,0.000006621328793698922,0,68.5999984741211,3.09515,50.68828
1694682754314000000,78.46799975585938,0,3.9000000953674316,1.0489399433135986,6,0.0000010398233598607476,0,68.5999984741211,3.09515,50.68828
1694682755314000000,79.46799975585938,0,3.799999952316284,1.058940052986145,6,3.5353616567590507e-7,0,68.5999984741211,3.09515,50.68828
1694682756314000000,80.46799975585938,0,3.700000047683716,1.017240047454834,6.015999794006348,4.162586435541016e-7,0,68.5999984741211,3.09515,50.68828
1694682757314000000,81.46799975585938,0,3.5999999046325684,1.0272400379180908,6.0329999923706055,2.3541761606793443e-7,0,68.5999984741211,3.09515,50.68828
1694682758314000000,82.46799975585938,0,3.5999999046325684,1.0372400283813477,6.065999984741211,9.793790667345093e-8,0,68.5999984741211,3.09515,50.68828
1694682759314000000,83.46799975585938,0,3.5,1.0472400188446045,6.099999904632568,2.983657410027263e-8,0,68.5999984741211,3.09515,50.68828
1694682759476000000,83.63,0,3.5,1,6.132999897003174,1.8576606919396e-8,0,68.5999984741211,3.09515,50.68828
1694682760314000000,84.46799975585938,0,3.4000000953674316,1.0083800554275513,6.142000198364258,4.3245798053703766e-9,0,68.5999984741211,3.09515,50.68828
1694682761314000000,85.46799975585938,0,3.299999952316284,1.018380045890808,6.1570000648498535,6.088418103011861e-10,0,68.5999984741211,3.09515,50.68828
1694682762314000000,86.46799975585938,179.89999389648438,3.299999952316284,1.028380036354065,6.1570000648498535,3.7893872261047363,3.2392683029174805,68.5999984741211,3.0951556,50.6883424
1694682763314000000,87.46799975585938,179.89999389648438,3.200000047683716,1.0383800268173218,6.142000198364258,3.800649404525757,2.2922863960266113,68.5999984741211,3.095157,50.6883767
1694682764314000000,88.46799975585938,179.89999389648438,3.0999999046325684,1.0483800172805786,6.113999843597412,2.5600392818450928,356.708984375,68.5999984741211,3.0951515,50.6883906
1694682765314000000,89.46799975585938,172.6999969482422,3,1.0583800077438354,6.050000190734863,1.1684526205062866,353.732666015625,68.5999984741211,3.0951499,50.688391
